n,e1,e1_pf,e1_n,e2,e2_pf,e2_n,e3,e3_pf,e3_n,e4,e4_pf,e4_n,total,design,oos,win_years,worst_year,ex20,rsi,dev,tov,atr,tp,stop,hold,rsi_exit
2183,157928.01766255696,1.0243933234871774,517,127826.6230391456,1.018492043941633,571,-1098826.894445402,0.8326771398794607,539,1263622.2062067701,1.2298544840761816,556,450549.9524630701,285754.64070170256,164795.31176136807,16,-776759.558797475,-760085.0468769297,35.0,-1.5,2000000000.0,3.0,3.0,4.0,5,50.0
2181,126578.01766255702,1.0195359622797462,517,136226.6230391456,1.019707230304353,571,-1088458.894445402,0.8340474378292383,537,1266877.2062067701,1.2304465727099463,556,441222.95246307034,262804.6407017026,178418.31176136807,15,-776759.558797475,-769412.0468769295,35.0,-1.5,2000000000.0,3.0,3.0,4.0,5,0.0
3225,-623498.9298421603,0.8948728719796254,714,-410149.6498100964,0.9343476431443251,791,11416.102196257649,1.0018931617614801,842,653780.55465016,1.11626287479999,878,-368451.9228058392,-1033648.5796522568,665196.6568464177,11,-464023.7502170396,-1504253.586024239,35.0,-1.5,2000000000.0,3.0,5.0,2.0,2,50.0
3224,-623498.9298421603,0.8948728719796254,714,-410149.6498100964,0.9343476431443251,791,32616.102196257503,1.0054161776731956,841,653780.55465016,1.11626287479999,878,-347251.9228058392,-1033648.5796522568,686396.6568464176,11,-464023.7502170396,-1483053.586024239,35.0,-1.5,2000000000.0,3.0,5.0,2.0,2,0.0
2796,-247758.99613623414,0.9600767727406156,640,153092.15910681002,1.023559360171452,709,-603678.063318687,0.9047471386972099,706,1037190.0638681396,1.1800951788113696,741,338845.1635200286,-94666.83702942412,433512.0005494526,10,-531004.8328372,-998554.8325499715,35.0,-1.5,2000000000.0,3.0,5.0,2.0,3,50.0
2793,-221903.99613623408,0.964052667640017,638,161492.15910681002,1.0248520365997864,709,-620908.7297980471,0.9022339969122251,706,1043890.0638401395,1.1813467187292317,740,362569.49701266864,-60411.83702942406,422981.33404209244,10,-524704.8328372,-974830.4990573315,35.0,-1.5,2000000000.0,3.0,5.0,2.0,3,0.0
2412,899.5595833625412,1.000143083649272,572,-123040.70388060278,0.9826889877885804,644,-531389.263751748,0.9141355333177583,588,1174088.0014272192,1.2021913190355524,608,520557.5933782308,-122141.14429724024,642698.7376754712,14,-695692.6456507,-839625.736591769,35.0,-1.5,2000000000.0,3.0,5.0,2.0,5,50.0
2399,118220.55968536244,1.0190070774825857,570,4299.295995398948,1.0006095022712216,642,-559774.7638412078,0.9095671632787209,585,1355715.0014132194,1.2371190254393474,602,918460.0932527732,122519.8556807614,795940.2375720115,15,-689392.6456507,-454789.90397922695,35.0,-1.5,2000000000.0,3.0,5.0,2.0,5,0.0
3121,-568576.3399721561,0.9001901842901996,683,88114.30221774007,1.0141941358220108,767,-138625.64788153884,0.977082823626416,822,396491.57151033974,1.0685122292308467,849,-222596.11412561487,-480462.037754416,257865.9236288009,11,-476150.5662839999,-1375137.7778426148,35.0,-1.5,2000000000.0,3.0,5.0,3.0,2,50.0
3120,-568576.3399721561,0.9001901842901996,683,88114.30221774007,1.0141941358220108,767,-117425.64788153901,0.9805611928127229,821,396491.57151033974,1.0685122292308467,849,-201396.11412561487,-480462.037754416,279065.9236288007,11,-476150.5662839999,-1353937.7778426148,35.0,-1.5,2000000000.0,3.0,5.0,3.0,2,0.0
