sig,h,sess,n,gross,net,t,pf,yrs_pos,yrs,h1,h2,net_yr
z5>4 逆張り,5,全,9010,0.09307702552719158,-0.16692297447280832,-4.084625983064854,0.8218930348762449,1,11,-0.17971082132235205,-0.1548738952360427,-140.5585046728975
z5>4 逆張り,5,Asia,3770,0.08153076923076884,-0.17846923076923113,-3.058014294579532,0.776239658015283,1,11,-0.21106914893617176,-0.15192492781520628,-62.881214953271154
z5>4 逆張り,5,London,2296,0.1473828397212523,-0.1126171602787476,-1.7785529204752082,0.8695021966735704,3,11,-0.1549778142974528,-0.06483873957368343,-24.16532710280416
z5>4 逆張り,5,NY,2944,0.0655101902173921,-0.19448980978260777,-2.2279321647091264,0.8343189890002803,2,11,-0.16400752393980725,-0.2245607287449387,-53.511962616822174
z5>4 逆張り,15,全,7886,0.034373953842250636,-0.22562604615774925,-3.5286072846782695,0.8326868665706321,1,11,-0.24685147247119207,-0.20480582768148847,-166.2885046728982
z5>4 逆張り,15,Asia,3289,0.03043235025843524,-0.22956764974156468,-2.76005362011162,0.7967117866013297,1,11,-0.2241755775577583,-0.2341724915445335,-70.5652336448604
z5>4 逆張り,15,London,2047,0.12419785051294531,-0.1358021494870546,-1.5415151372843205,0.8873821609862216,2,11,-0.24594080145719807,-0.008370916754475526,-25.980093457943997
z5>4 逆張り,15,NY,2550,-0.03264784313725649,-0.2926478431372564,-1.946750835633899,0.8323740399578776,1,11,-0.2742151702786361,-0.31157869634340696,-69.74317757009382
z5>4 逆張り,30,全,7316,0.027363039912519895,-0.23263696008748,-3.0260061133208116,0.8596628538366221,1,11,-0.26065497396546927,-0.20475647668393954,-159.0628037383181
z5>4 逆張り,30,Asia,3005,0.07037737104825402,-0.1896226289517459,-1.7607163970159947,0.8604749106751087,3,11,-0.20804704205274574,-0.17348689138576417,-53.253831775700604
z5>4 逆張り,30,London,1926,0.008534787123570335,-0.2514652128764296,-1.9947449307758922,0.8447180733475784,1,11,-0.2694135922330098,-0.23083258928571807,-45.26373831775733
z5>4 逆張り,30,NY,2385,-0.011628511530400102,-0.2716285115304,-1.6576372717370844,0.8684543322103053,1,11,-0.3139342105263118,-0.22762189905903227,-60.5452336448602
z5>4 逆張り,60,全,6682,-0.09461104459742392,-0.3546110445974238,-3.2268212794420466,0.8382387044956743,0,11,-0.3198175797712225,-0.38901101190475745,-221.449626168223
z5>4 逆張り,60,Asia,2703,0.02018830928598223,-0.23981169071401767,-1.6977289668184854,0.8666440227314407,1,11,-0.28095106550907956,-0.2035139275765918,-60.580467289718676
z5>4 逆張り,60,London,1811,0.01685698509111228,-0.24314301490888748,-1.5002019770476678,0.8840732788976324,2,11,-0.3532654127481683,-0.11973887587821816,-41.15252336448554
z5>4 逆張り,60,NY,2168,-0.3308523985239857,-0.5908523985239856,-2.310865703454977,0.786115814584327,0,11,-0.3355136612021859,-0.8528728971962624,-119.71663551401878
z5>4 順張り,1,全,20085,-0.04538790141897031,-0.3053879014189702,-19.629788469283238,0.5249038881144091,0,11,-0.3008806000405431,-0.30973950484392004,-573.24448598131
z5>4 順張り,1,Asia,8665,-0.03681984997115046,-0.29681984997115046,-17.27894424744432,0.4484258348209547,0,11,-0.28650865312264956,-0.30560795211629205,-240.36859813084288
z5>4 順張り,1,London,4853,-0.06426643313414392,-0.3242664331341438,-11.02523730991855,0.5256750622570977,0,11,-0.3123630401234554,-0.33791242812914807,-147.0714953271028
z5>4 順張り,1,NY,6567,-0.042742043551088696,-0.3027420435510886,-8.468338557199033,0.5967217351229164,0,11,-0.30925859446303566,-0.2962115853658539,-185.80439252336438
z5>4 順張り,3,全,11221,-0.07992745744585877,-0.33992745744585867,-11.647187240961895,0.6203417707004554,0,11,-0.33590322580644966,-0.34377833972793714,-356.4790654205589
z5>4 順張り,3,Asia,4744,-0.06617032040472282,-0.3261703204047227,-8.593285340482248,0.563946248240469,0,11,-0.3183299492385783,-0.33276329064804244,-144.61233644859857
z5>4 順張り,3,London,2795,-0.10842146690518434,-0.3684214669051843,-6.788410165112121,0.6012606467261782,0,11,-0.36356940700808227,-0.37391380625476417,-96.23719626168132
z5>4 順張り,3,NY,3682,-0.07602281368820915,-0.3360228136882091,-5.434430008074897,0.6840333456171656,0,11,-0.33428267973855985,-0.3377535211267551,-115.62953271027905
z5>4 順張り,5,全,9010,-0.09307702552719158,-0.3530770255271915,-8.639838806170753,0.6659967824137486,0,11,-0.3402891786776478,-0.36512610476395707,-297.3106542056071
z5>4 順張り,5,Asia,3770,-0.08153076923076884,-0.34153076923076886,-5.852022613897513,0.6210545492431226,0,11,-0.3089308510638281,-0.36807507218479363,-120.33373831775688
z5>4 順張り,5,London,2296,-0.1473828397212523,-0.4073828397212522,-6.4337614049610305,0.6123144885259154,0,11,-0.36502218570254713,-0.45516126042631616,-87.41598130841076
z5>4 順張り,5,NY,2944,-0.0655101902173921,-0.325510190217392,-3.7288052445345437,0.7419829229291697,0,11,-0.35599247606019263,-0.29543927125506103,-89.56093457943945
z5>4 順張り,15,全,7886,-0.034373953842250636,-0.29437395384225046,-4.603768472816602,0.7901661509025067,0,11,-0.2731485275288077,-0.31519417231851127,-216.95635514018574
z5>4 順張り,15,Asia,3289,-0.03043235025843524,-0.2904323502584352,-3.491819777876934,0.7528063893474315,1,11,-0.29582442244224155,-0.2858275084554664,-89.27401869158817
z5>4 順張り,15,London,2047,-0.12419785051294531,-0.3841978505129452,-4.361100354558524,0.717152277914405,2,11,-0.2740591985428018,-0.5116290832455241,-73.50028037383167
z5>4 順張り,15,NY,2550,0.03264784313725649,-0.22735215686274343,-1.5123911272024297,0.8687880043644697,1,11,-0.24578482972136376,-0.20842130365659273,-54.18205607476596
z5>4 順張り,30,全,7316,-0.027363039912519895,-0.28736303991251977,-3.737851092925002,0.8312290631640696,1,11,-0.25934502603453047,-0.31524352331606026,-196.4811214953266
z5>4 順張り,30,Asia,3005,-0.07037737104825402,-0.3303773710482539,-3.0676763507783975,0.7709204057875363,2,11,-0.3119529579472541,-0.34651310861423573,-92.78355140186945
z5>4 順張り,30,London,1926,-0.008534787123570335,-0.2685347871235703,-2.1301491336495464,0.8378904107356341,2,11,-0.25058640776699004,-0.2891674107142818,-48.336261682242665
z5>4 順張り,30,NY,2385,0.011628511530400102,-0.24837148846959978,-1.5157092096274598,0.8799078619047664,2,11,-0.20606578947368798,-0.29237810094096744,-55.36130841121453
z5>4 順張り,60,全,6682,0.09461104459742392,-0.16538895540257595,-1.5049745596152837,0.9216902195698728,2,11,-0.20018242022877733,-0.13098898809524234,-103.2830841121507
z5>4 順張り,60,Asia,2703,-0.02018830928598223,-0.2801883092859821,-1.9835722246167522,0.8468832455659545,1,11,-0.2390489344909202,-0.31648607242340787,-70.78028037383268
z5>4 順張り,60,London,1811,-0.01685698509111228,-0.27685698509111206,-1.7082185007403279,0.8703153399104901,1,11,-0.1667345872518315,-0.4002611241217814,-46.85869158878542
z5>4 順張り,60,NY,2168,0.3308523985239857,0.07085239852398571,0.2771087638226046,1.0289834891397767,3,11,-0.1844863387978139,0.33287289719626223,14.355887850467386
z15>2 逆張り,1,全,214590,0.014085143762523643,-0.24591485623747628,-84.00299792646553,0.45179272151458194,0,11,-0.2469820126397665,-0.24500537745783532,-4931.8569158878545
z15>2 逆張り,1,Asia,84086,0.0002746117070611458,-0.2597253882929388,-64.13865705979187,0.36222264553936995,0,11,-0.25442897153475325,-0.2639140842970643,-2041.0531775700983
z15>2 逆張り,1,London,60891,0.024403655712667227,-0.2355963442873327,-50.076498879707415,0.4462922644322534,0,11,-0.24186895568079025,-0.22998699642246007,-1340.7193457943902
z15>2 逆張り,1,NY,69613,0.02174129832071574,-0.23825870167928423,-37.40595522821058,0.5406787100235341,0,11,-0.24303923060535032,-0.23398528131461574,-1550.0843925233658
z15>2 逆張り,3,全,95117,0.026518529810654775,-0.23348147018934515,-33.06271359583377,0.6206901805244012,0,11,-0.23148262459465,-0.23516463320164163,-2075.5193457943874
z15>2 逆張り,3,Asia,36883,-0.0051798660629554134,-0.26517986606295535,-26.106872310587264,0.5182734276566868,0,11,-0.24697850993992634,-0.2793531539351848,-914.0774766355124
z15>2 逆張り,3,London,27323,0.04785795849650488,-0.21214204150349505,-19.13781923850311,0.63112000939326,1,11,-0.2182785647571611,-0.20669526770293534,-541.7156074766351
z15>2 逆張り,3,NY,30911,0.045478599851186706,-0.2145214001488132,-14.168556874894293,0.7057032553948696,0,11,-0.225920958166504,-0.20446757990867498,-619.7262616822397
z15>2 逆張り,5,全,68770,0.030958717464010826,-0.2290412825359891,-22.273851755343387,0.6858818707543112,0,11,-0.21956850800535835,-0.23697931366260325,-1472.0718691588759
z15>2 逆張り,5,Asia,26462,-0.009000642430656085,-0.269000642430656,-17.855964962640464,0.5836602850832084,0,11,-0.2417293161580367,-0.29017871769050074,-665.2612149532729
z15>2 逆張り,5,London,19943,0.061236925236926275,-0.19876307476307367,-12.324675830448518,0.7063180197730504,1,11,-0.2066648498450357,-0.19177866994143009,-370.4609345794372
z15>2 逆張り,5,NY,22365,0.0512389000670702,-0.20876109993292974,-9.577361630110943,0.7611722053169092,0,11,-0.20656807286673035,-0.21067758692919772,-436.3497196261658
z15>2 逆張り,15,全,39363,0.0298486141808301,-0.23015138581916983,-11.293247132481765,0.7847532499721781,0,11,-0.20938007525130523,-0.24731016886249718,-846.6774766355124
z15>2 逆張り,15,Asia,14864,-0.049121030678148825,-0.30912103067814867,-10.16725463555133,0.6735996454955184,0,11,-0.24585504331683103,-0.35780571428571506,-429.41822429906557
z15>2 逆張り,15,London,11585,0.10269253344842506,-0.15730746655157485,-5.134300669908683,0.83993975982449,1,11,-0.18690465507571558,-0.13192014111609876,-170.3184112149528
z15>2 逆張り,15,NY,12914,0.0553951525476239,-0.20460484745237603,-4.721517812461768,0.8410742654923559,0,11,-0.19010193526860086,-0.21716705202311992,-246.94084112149383
z15>2 逆張り,30,全,30891,0.012999773396784509,-0.24700022660321544,-8.13617214435587,0.8228548445393102,0,11,-0.20609875413528345,-0.2818292375929007,-713.0919626168157
z15>2 逆張り,30,Asia,11430,-0.04215765529308857,-0.30215765529308847,-7.1486485936562305,0.7495104495334917,0,11,-0.2517155599603552,-0.3420136256852011,-322.7721495327104
z15>2 逆張り,30,London,9155,0.05706160567996052,-0.2029383943200394,-4.284584646980138,0.8473817260354393,1,11,-0.1903435294117637,-0.21385137614678182,-173.63560747663186
z15>2 逆張り,30,NY,10306,0.0350319231515655,-0.22496807684843434,-3.4258240845362082,0.8645037606951809,1,11,-0.17287866449511077,-0.2724028550240973,-216.6842056074733
z15>2 逆張り,60,全,23185,0.016639896484796912,-0.243360103515203,-5.326954476245175,0.8676325047587097,0,11,-0.20948307921160159,-0.27267712607611183,-527.3181308411198
z15>2 逆張り,60,Asia,8371,-0.12366598972643798,-0.3836659897264379,-5.376278334426634,0.7731570424079134,0,11,-0.304922518159804,-0.44655586592179203,-300.1558878504684
z15>2 逆張り,60,London,6933,0.10478191259195478,-0.1552180874080451,-2.0386613128537294,0.9136240877520667,2,11,-0.17157713928794635,-0.14117850442239946,-100.57261682242775
z15>2 逆張り,60,NY,7881,0.08812980586220102,-0.17187019413779886,-1.9424726920958888,0.91539233926291,1,11,-0.14866119364086292,-0.19389119683481756,-126.58962616822363
z15>2 順張り,1,全,214590,-0.014085143762523643,-0.2740851437625236,-93.62579437219674,0.4220363899939424,0,11,-0.27301798736023336,-0.2749946225421645,-5496.815981308405
z15>2 順張り,1,Asia,84086,-0.0002746117070611458,-0.2602746117070611,-64.27428666627405,0.37516203055107905,0,11,-0.2655710284652467,-0.2560859157029356,-2045.369252336443
z15>2 順張り,1,London,60891,-0.024403655712667227,-0.2844036557126671,-60.45059565657197,0.3850823147627549,0,11,-0.2781310443192096,-0.29001300357753973,-1618.469439252338
z15>2 順張り,1,NY,69613,-0.02174129832071574,-0.2817412983207157,-44.23260227913399,0.4915756822969036,0,11,-0.2769607693946495,-0.2860147186853842,-1832.9772897196247
z15>2 順張り,3,全,95117,-0.026518529810654775,-0.2865185298106547,-40.573155905463096,0.5650940280007116,0,11,-0.2885173754053499,-0.2848353667983582,-2546.9890654205647
z15>2 順張り,3,Asia,36883,0.0051798660629554134,-0.25482013393704456,-25.086960023133162,0.5435733410413505,0,11,-0.2730214900600735,-0.24064684606481512,-878.3673831775715
z15>2 順張り,3,London,27323,-0.04785795849650488,-0.30785795849650477,-27.77257124087605,0.5211388302381514,0,11,-0.3017214352428388,-0.31330473229706446,-786.1311214953271
z15>2 順張り,3,NY,30911,-0.045478599851186706,-0.30547859985118664,-20.176033314401977,0.6146836569075808,0,11,-0.2940790418334958,-0.31553242009132476,-882.4905607476664
z15>2 順張り,5,全,68770,-0.030958717464010826,-0.29095871746401075,-28.295210662295766,0.6262579653213458,0,11,-0.3004314919946415,-0.2830206863373966,-1870.0215887850486
z15>2 順張り,5,Asia,26462,0.009000642430656085,-0.25099935756934383,-16.661059594156225,0.6154822530448777,0,11,-0.27827068384196324,-0.22982128230949905,-620.7425233644838
z15>2 順張り,5,London,19943,-0.061236925236926275,-0.3212369252369262,-19.91889576589844,0.5763838184933195,0,11,-0.3133351501549642,-0.32822133005856974,-598.7315887850485
z15>2 順張り,5,NY,22365,-0.0512389000670702,-0.3112389000670701,-14.278749729992661,0.67073995337855,0,11,-0.3134319271332695,-0.30932241307080194,-650.5474766355162
z15>2 順張り,15,全,39363,-0.0298486141808301,-0.28984861418083,-14.222517145837795,0.7405166999754781,0,11,-0.31061992474869465,-0.2726898311375026,-1066.2907476635526
z15>2 順張り,15,Asia,14864,0.049121030678148825,-0.2108789693218511,-6.935989355606912,0.7683939570758475,2,11,-0.2741449566831688,-0.16219428571428468,-292.944392523364
z15>2 順張り,15,London,11585,-0.10269253344842506,-0.36269253344842495,-11.837788493304567,0.6719500252685874,0,11,-0.3330953449242843,-0.38807985888390095,-392.6909345794396
z15>2 順張り,15,NY,12914,-0.0553951525476239,-0.3153951525476238,-7.278145406913275,0.7689355650542729,0,11,-0.32989806473139893,-0.3028329479768798,-380.65542056074895
z15>2 順張り,30,全,30891,-0.012999773396784509,-0.2729997733967844,-8.992595603138879,0.8081393504985517,0,11,-0.31390124586471635,-0.2381707624070991,-788.1528971962679
z15>2 順張り,30,Asia,11430,0.04215765529308857,-0.21784234470691133,-5.153860389925585,0.8142350662350548,1,11,-0.26828444003964463,-0.1779863743147986,-232.7044859813081
z15>2 順張り,30,London,9155,-0.05706160567996052,-0.3170616056799604,-6.694037825591904,0.7740278179348786,0,11,-0.3296564705882361,-0.3061486238532179,-271.2802803738353
z15>2 順張り,30,NY,10306,-0.0350319231515655,-0.2950319231515654,-4.4927595159228595,0.828272192110197,0,11,-0.34712133550488894,-0.24759714497590246,-284.1681308411246
z15>2 順張り,60,全,23185,-0.016639896484796912,-0.2766398964847968,-6.055422041664399,0.8519532971786371,0,11,-0.31051692078839815,-0.24732287392388794,-599.4295327102817
z15>2 順張り,60,Asia,8371,0.12366598972643798,-0.1363340102735619,-1.910436695735976,0.9133617539179024,1,11,-0.2150774818401958,-0.0734441340782078,-106.65906542055951
z15>2 順張り,60,London,6933,-0.10478191259195478,-0.3647819125919546,-4.7911089825183835,0.8097052230155694,0,11,-0.3484228607120533,-0.37882149557760025,-236.35822429906742
z15>2 順張り,60,NY,7881,-0.08812980586220102,-0.34812980586220105,-3.9345544734172564,0.8372784376230481,1,11,-0.37133880635913685,-0.3261088031651824,-256.4122429906548
z15>3 逆張り,1,全,52462,0.0189234493538172,-0.24107655064618277,-30.4566829062155,0.5395566172600536,0,11,-0.23082441361083567,-0.24986596332224179,-1181.996074766359
z15>3 逆張り,1,Asia,23106,-0.001454384142646962,-0.2614543841426469,-27.236460588091337,0.4355427200547755,0,11,-0.23927748184019332,-0.2793697676238169,-564.5948598130841
z15>3 逆張り,1,London,13086,0.044853049060063314,-0.2151469509399366,-15.48918466593272,0.5710286123843759,1,11,-0.2294632182127924,-0.20120214210288279,-263.1227102803748
z15>3 逆張り,1,NY,16270,0.02700799016594776,-0.23299200983405213,-12.622627121741573,0.6284277956843936,0,11,-0.22026634382566593,-0.24369850611136587,-354.2785046728999
z15>3 逆張り,3,全,23839,0.03281224044632636,-0.22718775955367354,-11.966508081065253,0.6903031300779918,0,11,-0.19986336132935958,-0.2508884537051563,-506.161588785049
z15>3 逆張り,3,Asia,10332,-0.008076751838946813,-0.2680767518389467,-11.80579271436333,0.5799067982664023,0,11,-0.21963354037267027,-0.308016952145506,-258.8569158878503
z15>3 逆張り,3,London,6096,0.07302723097112686,-0.18697276902887308,-6.699099840170923,0.7260254940279147,1,11,-0.19268252911813563,-0.1814218699450057,-106.52205607476732
z15>3 逆張り,3,NY,7411,0.05673809202536544,-0.20326190797463448,-4.333482651932904,0.7763173212735027,1,11,-0.17905472197705308,-0.22377043868395127,-140.78261682243144
z15>3 逆張り,5,全,17565,0.04190054084827639,-0.21809945915172355,-8.751818603582889,0.7461284579398424,0,11,-0.17804291478175763,-0.25300490091626127,-358.02962616822657
z15>3 逆張り,5,Asia,7526,-0.010278634068563944,-0.2702786340685639,-8.09491747026465,0.6387522003946846,0,11,-0.200250073724564,-0.32770713422007625,-190.1043925233656
z15>3 逆張り,5,London,4568,0.1070378721541147,-0.1529621278458852,-3.802377581656319,0.8073432413757725,1,11,-0.16776444640493932,-0.13837853107344905,-65.30196261682278
z15>3 逆張り,5,NY,5471,0.05929281666971138,-0.20070718333028853,-3.568716631691895,0.8117280563806448,2,11,-0.15741491471638305,-0.23770372881356167,-102.62327102803819
z15>3 逆張り,15,全,10832,0.03490832717872897,-0.22509167282127096,-4.539753113502247,0.8216247049688141,1,11,-0.1683244320446389,-0.27408685930512705,-227.86850467289787
z15>3 逆張り,15,Asia,4496,-0.03355315836298877,-0.29355315836298873,-4.4763737081514074,0.7255135747363887,0,11,-0.19625596421471136,-0.37236231884057885,-123.347196261682
z15>3 逆張り,15,London,2952,0.16503556910568956,-0.09496443089431032,-1.4040291180906828,0.913789418426463,1,11,-0.14284493452791266,-0.04867888074617104,-26.199532710280756
z15>3 逆張り,15,NY,3384,0.012351359338059727,-0.24764864066194006,-2.0844827157054,0.8505853260210655,1,11,-0.15595948553054495,-0.3256019682886866,-78.32177570093506
z15>3 逆張り,30,全,9648,0.0036929933664988845,-0.256307006633501,-3.7564083956078944,0.8436290331912915,1,11,-0.20869807989406258,-0.2984637482900177,-231.1074766355157
z15>3 逆張り,30,Asia,3988,0.02927983951855482,-0.23072016048144503,-2.6559575911373448,0.8243028009407817,2,11,-0.18059856828193963,-0.27262661141804806,-85.99177570093485
z15>3 逆張り,30,London,2655,-0.08045348399246544,-0.34045348399246533,-3.4386257821155004,0.784260206005651,2,11,-0.2740916666666656,-0.406069662921346,-84.47700934579397
z15>3 逆張り,30,NY,3005,0.04408186356072557,-0.2159181364392743,-1.3126874848211527,0.8984179519013512,2,11,-0.18339999999999748,-0.24409378881988983,-60.638691588786855
z15>3 逆張り,60,全,8513,-0.08567414542464688,-0.3456741454246467,-4.000763677544271,0.8379666391409865,1,11,-0.26959410883674534,-0.4132970934102543,-275.0209345794409
z15>3 逆張り,60,Asia,3478,-0.07817596319724109,-0.33817596319724097,-2.86742923428461,0.80963331410529,0,11,-0.21189064475347785,-0.4435469409282712,-109.92299065420599
z15>3 逆張り,60,London,2412,-0.07739842454394644,-0.33739842454394636,-2.5816275610259587,0.8330079559790502,1,11,-0.293886287625417,-0.3801949013157893,-76.05654205607463
z15>3 逆張り,60,NY,2623,-0.10322645825391369,-0.3632264582539136,-1.8216921149693113,0.865988853397689,2,11,-0.3202728013029325,-0.4010379928315514,-89.04140186916031
z15>3 順張り,1,全,52462,-0.0189234493538172,-0.27892344935381713,-35.23811432222174,0.4990444005735317,0,11,-0.2891755863891642,-0.27013403667775804,-1367.5590654205566
z15>3 順張り,1,Asia,23106,0.001454384142646962,-0.258545615857353,-26.933445769571126,0.45454112995386103,0,11,-0.2807225181598066,-0.240630232376183,-558.3135514018691
z15>3 順張り,1,London,13086,-0.044853049060063314,-0.3048530490600633,-21.947441747302314,0.4599955736310243,0,11,-0.29053678178720743,-0.3187978578971171,-372.83242990654094
z15>3 順張り,1,NY,16270,-0.02700799016594776,-0.28700799016594764,-15.54900892698232,0.5704211935185565,0,11,-0.29973365617433395,-0.27630149388863406,-436.4130841121466
z15>3 順張り,3,全,23839,-0.03281224044632636,-0.29281224044632626,-15.423102232354081,0.6281590178436887,0,11,-0.32013663867064035,-0.26911154629484346,-652.3692523364459
z15>3 順張り,3,Asia,10332,0.008076751838946813,-0.25192324816105316,-11.094410937600804,0.6115607807672017,0,11,-0.30036645962732966,-0.21198304785449384,-243.25897196261693
z15>3 順張り,3,London,6096,-0.07302723097112686,-0.33302723097112674,-11.932126166600888,0.57353879984094,0,11,-0.32731747088186425,-0.33857813005499415,-189.73214953270923
z15>3 順張り,3,NY,7411,-0.05673809202536544,-0.3167380920253653,-6.752760714858268,0.6789359259049048,0,11,-0.3409452780229467,-0.2962295613160485,-219.37813084111986
z15>3 順張り,5,全,17565,-0.04190054084827639,-0.3019005408482763,-12.114559018643032,0.6735626312503559,0,11,-0.3419570852182422,-0.26699509908373853,-495.5965420560722
z15>3 順張り,5,Asia,7526,0.010278634068563944,-0.24972136593143596,-7.479221784375038,0.6705399864492843,1,11,-0.3197499262754359,-0.19229286577992363,-175.6451401869147
z15>3 順張り,5,London,4568,-0.1070378721541147,-0.3670378721541146,-9.123935423438782,0.6067132506912198,0,11,-0.3522355535950606,-0.38162146892655074,-156.69429906542015
z15>3 順張り,5,NY,5471,-0.05929281666971138,-0.3192928166697113,-5.677253630498208,0.7217105919260205,0,11,-0.3625850852836168,-0.2822962711864382,-163.25710280373744
z15>3 順張り,15,全,10832,-0.03490832717872897,-0.29490832717872884,-5.947847735666466,0.776382365967723,1,11,-0.3516755679553609,-0.24591314069487277,-298.54644859813004
z15>3 順張り,15,Asia,4496,0.03355315836298877,-0.22644684163701115,-3.453073691492753,0.7848350565182967,2,11,-0.3237440357852885,-0.147637681159421,-95.1500000000002
z15>3 順張り,15,London,2952,-0.16503556910568956,-0.4250355691056895,-6.284061407294622,0.6719741784289185,0,11,-0.37715506547208716,-0.47132111925382864,-117.26214953270986
z15>3 順張り,15,NY,3384,-0.012351359338059727,-0.2723513593380596,-2.2924079034781655,0.8391150776776254,3,11,-0.36404051446945485,-0.1943980317113129,-86.13429906541997
z15>3 順張り,30,全,9648,-0.0036929933664988845,-0.26369299336649876,-3.864656636411371,0.8409041307481383,1,11,-0.31130192010593727,-0.22153625170998212,-237.76728971962433
z15>3 順張り,30,Asia,3988,-0.02927983951855482,-0.2892798395185547,-3.330073037956679,0.7861049262235471,1,11,-0.3394014317180602,-0.24737338858195163,-107.81757009345758
z15>3 順張り,30,London,2655,0.08045348399246544,-0.17954651600753443,-1.813443856683179,0.8814873597886983,4,11,-0.24590833333333414,-0.1139303370786538,-44.551028037383546
z15>3 順張り,30,NY,3005,-0.04408186356072557,-0.3040818635607254,-1.8486842432039987,0.8610285154607374,1,11,-0.3366000000000024,-0.27590621118010966,-85.39869158878317
z15>3 順張り,60,全,8513,0.08567414542464688,-0.174325854575353,-2.017612703389096,0.9153924001299653,1,11,-0.25040589116325446,-0.10670290658974546,-138.69495327102618
z15>3 順張り,60,Asia,3478,0.07817596319724109,-0.1818240368027588,-1.5417049564808485,0.8933060326639606,2,11,-0.3081093552465219,-0.07645305907172864,-59.101308411214504
z15>3 順張り,60,London,2412,0.07739842454394644,-0.18260157545605343,-1.397188681367738,0.9068416652019295,3,11,-0.22611371237458275,-0.13980509868421045,-41.162149532710366
z15>3 順張り,60,NY,2623,0.10322645825391369,-0.15677354174608615,-0.7862674052092684,0.9402763296499957,4,11,-0.19972719869706723,-0.11896200716844837,-38.43149532710131
