tot,y2,n,t,t1,t2,wy,ny,tt3,a,b,hold
-43367.699999999495,-22745.549999999646,843,-2.2890769287574564,-0.5969100087960353,-2.2718090747702653,3,11,-52574.69999999946,878,898,20
-44622.15000000048,-23996.84999999999,859,-2.126775398802593,-0.06451235885798463,-2.3563991288704957,3,11,-54926.25000000041,878,899,21
-29082.74999999896,-15331.49999999989,1064,-1.0979128362875064,0.3489967970100111,-1.370806534370257,3,11,-45797.24999999898,878,900,22
26443.05000000054,3746.849999999962,1214,0.8876882911988014,2.097268768800315,0.04278762189124944,7,11,5351.100000000384,878,901,23
32742.599999999842,8480.999999999349,1109,1.1246701457113963,2.0241649715910515,0.28157036163330523,7,11,11461.650000000023,878,902,24
42503.099999999395,17792.549999999486,1091,1.352747558328886,1.902811707159249,0.6191650128179467,6,11,17722.64999999944,878,903,25
32901.89999999885,5849.549999999059,1099,1.0520705960761436,1.9640767625818891,0.23118844703940655,6,11,8571.449999998847,878,904,26
16815.149999999565,8549.2499999991,1141,0.5291073266616982,1.0862247818936275,0.08417565764852508,5,11,-8642.850000000442,878,905,27
-870.3000000006023,-4926.900000000638,1104,-0.028266507586757233,0.7212998647592195,-0.36150683339852535,5,11,-24938.250000000407,878,906,28
-42157.3499999994,-37150.79999999996,1082,-1.583704639422974,0.4892493895617429,-2.0833234227278643,5,11,-55667.849999999395,878,907,29
-34691.250000000255,-21809.400000000045,1077,-1.175479560444373,0.7389480964057239,-1.6399899414779477,5,11,-57896.700000000244,878,908,30
-60871.800000001094,-48781.950000001,1096,-2.158298559154985,0.32226506675765726,-2.614068555131289,5,11,-75030.3000000011,878,909,31
-44705.55000000028,-36091.04999999966,1064,-1.6475471396453625,0.882277717847884,-2.3754818370507405,5,11,-58323.00000000035,878,910,32
-21840.59999999989,-24964.650000000056,1068,-0.7215841513159499,1.0722780031376258,-1.3274306283397854,5,11,-43639.049999999814,878,911,33
-33517.65000000071,-25879.350000000682,1077,-1.1137686392691113,0.5949274545170683,-1.5617920074956864,5,11,-53469.60000000056,878,912,34
-14844.450000000934,-12838.350000000772,1019,-0.5166700777525502,0.5752124234600665,-0.9055901001661775,5,11,-33435.000000000815,878,913,35
-19558.34999999949,-18620.99999999957,1020,-0.7258616130138861,0.5523086048711636,-1.1668696555772236,6,11,-33062.39999999944,878,914,36
-33307.50000000021,-26650.350000000024,1047,-1.2041263050614333,0.6236605881854278,-1.755393183516284,5,11,-46811.55000000016,878,915,37
-20031.899999999543,-10868.849999999886,1071,-0.6692291596735367,0.46409828532865044,-1.0129740958003186,4,11,-39721.34999999957,878,916,38
-21883.04999999991,-18307.94999999972,1076,-0.7217496409812423,0.9578479730230216,-1.3421483212211618,5,11,-43088.999999999825,878,917,39
-18451.649999999525,-15652.49999999981,1071,-0.6103954060132116,0.5022653123739373,-0.979718757892607,5,11,-37859.09999999951,878,918,40
-31897.350000000064,-21098.55000000016,1085,-1.0712326566428494,0.2938882965468113,-1.4028019473872102,5,11,-49777.799999999814,878,919,41
-28857.600000000064,-9657.599999999675,1038,-0.9595646816398752,0.32750279709019453,-1.2924288512706794,5,11,-47488.05000000005,878,920,42
