code,start,sig,tov5,last_flag
3528,2016-12-15,2017-01-05,1.759898,2017-01-23
3536,2020-08-21,2020-09-07,0.8206216,2020-09-10
3541,2026-01-14,2026-01-27,1.3581298,2026-01-30
3542,2020-08-12,2020-08-28,14.054781,2020-09-02
3547,2017-12-04,2017-12-06,89.286936,2017-12-15
3556,2020-09-17,2020-09-25,1.9871122,2020-09-30
3565,2017-09-05,2017-09-07,8.16345024,2017-09-28
3604,2020-02-14,2020-02-26,69.3687514,2020-03-02
3604,2020-11-24,2020-12-02,12.7299686,2020-12-07
3604,2022-01-14,2022-01-24,15.9206472,2022-01-27
3606,2017-04-26,2017-05-12,4.418366,2017-05-17
3606,2017-07-27,2017-08-04,13.8027754,2017-08-09
3622,2019-02-18,2019-03-05,0.7198312,2019-03-08
3623,2017-12-14,2017-12-25,10.957132,2017-12-28
3623,2019-10-03,2019-10-15,1.0057334,2019-10-18
3624,2017-08-18,2017-08-24,17.2481788,2017-08-29
3624,2018-04-02,2018-04-10,12.2419616,2018-05-21
3624,2019-07-11,2019-07-25,7.7687772,2019-07-30
3624,2019-12-12,2019-12-19,8.2618038,2020-01-15
3624,2025-01-10,2025-01-30,4.2853222,2025-02-25
3625,2016-08-25,2016-09-13,4.2540178,2016-09-16
3627,2018-07-27,2018-08-14,3.9395786,2018-08-17
3627,2018-11-02,2018-11-06,58.3817888,2018-11-09
3628,2020-08-26,2020-09-16,1.0808118,2020-09-23
3639,2025-05-23,2025-05-27,12.1966802,2025-06-02
3646,2018-06-28,2018-07-24,10.6586092,2018-07-27
3652,2017-11-29,2018-01-18,41.005918,2018-01-23
3656,2025-09-18,2025-09-22,105.3576058,2026-05-07
3660,2022-08-24,2022-09-08,27.634947,2022-09-26
3661,2017-02-13,2017-02-23,4.5891864,2017-03-08
3661,2017-05-19,2017-06-12,131.204484,2017-06-20
3661,2018-04-25,2018-05-08,20.66847168,2018-05-16
3661,2018-07-23,2018-07-30,18.1116864,2018-08-02
3661,2018-08-31,2018-09-05,13.55779024,2018-10-16
3664,2016-09-08,2016-09-13,50.539967,2016-09-16
3664,2020-03-27,2020-04-09,1.9618984,2020-04-14
3667,2017-04-21,2017-05-26,7.8531014,2017-05-31
3667,2017-06-06,2017-06-16,7.2311246,2017-08-02
3667,2017-10-25,2017-10-27,347.0776532,2017-12-29
3667,2019-04-03,2019-04-19,22.6784362,2019-05-07
3667,2019-08-05,2019-09-05,19.724357,2019-09-25
3667,2019-10-31,2019-11-18,2.6619252,2019-11-21
3667,2020-01-16,2020-01-20,30.2718224,2020-02-26
3668,2019-10-01,2019-10-17,82.8076124,2019-10-23
3672,2019-10-10,2019-11-01,26.2932444,2019-11-07
3681,2020-04-07,2020-04-27,24.5903426,2020-05-01
3686,2020-06-18,2020-06-30,26.5584652,2020-07-03
3689,2016-11-18,2016-12-20,72.44053,2016-12-26
3710,2019-04-04,2019-04-25,4.470554,2019-05-08
3747,2016-12-28,2017-01-16,4.1635506,2017-01-31
3747,2019-08-22,2019-10-07,17.088862,2019-10-10
3747,2020-09-11,2020-09-18,2.848309,2020-09-25
3747,2023-06-14,2023-06-22,2.9844056,2023-06-27
3747,2025-03-13,2025-03-28,13.1426014,2025-04-02
3747,2025-08-29,2025-09-12,6.5193272,2025-09-18
3753,2016-11-24,2016-12-01,25.7822244,2016-12-26
3758,2016-09-09,2016-09-20,7.920723,2016-09-30
3758,2017-02-14,2017-03-02,30.3368002,2017-03-07
3758,2017-03-17,2017-03-31,29.46129,2017-04-10
3760,2019-03-27,2019-04-05,1.2766302,2019-04-10
3760,2022-06-15,2022-07-05,2.4376928,2022-07-08
3766,2018-06-11,2018-07-03,4.6275542,2018-07-20
3776,2018-09-26,2018-09-28,21.5425812,2018-10-16
3778,2023-06-27,2023-07-11,20.7412828,2023-07-14
3778,2023-12-08,2023-12-26,29.5797348,2024-03-15
3784,2018-03-20,2018-04-24,20.3966114,2018-04-27
3798,2016-10-11,2016-10-27,1.4249806,2016-11-01
3803,2020-08-26,2020-09-08,0.1204082,2020-09-11
3803,2025-07-25,2025-08-12,7.6470788,2025-08-15
3804,2017-06-22,2017-07-19,1.05865344,2017-07-28
3807,2024-11-19,2024-12-03,1.0662542,2024-12-06
3807,2024-12-12,2024-12-17,23.6639628,2024-12-27
3810,2017-01-31,2017-02-06,7.1958872,2017-02-15
3810,2017-04-17,2017-07-14,25.884706,2017-07-20
3810,2022-06-10,2022-06-23,33.467107,2022-06-28
3823,2019-05-16,2019-05-27,7.6230676,2019-05-30
3841,2024-08-02,2024-08-07,5.3778668,2024-08-13
3842,2020-01-06,2020-01-20,2.2860228,2020-01-23
3845,2017-01-10,2017-01-19,7.6661422,2017-01-24
3851,2016-12-16,2017-01-17,24.1961208,2017-01-20
3853,2017-06-06,2017-06-13,46.2005298,2017-06-29
3853,2017-07-10,2017-07-14,82.9611368,2017-08-15
3853,2017-08-25,2017-08-29,124.6653984,2017-09-07
3853,2025-08-29,2025-09-11,41.1758712,2025-09-17
3856,2023-04-19,2023-04-21,336.199106,2023-04-26
3896,2023-01-27,2023-02-16,5.9885306,2023-02-28
3896,2024-01-18,2024-01-24,3.6172156,2024-01-29
3905,2018-07-24,2018-07-27,31.2083162,2018-08-01
3905,2024-01-22,2024-02-13,4.6438526,2024-02-16
3905,2025-06-09,2025-06-26,42.3374722,2025-07-01
3905,2025-07-15,2025-08-04,52.39845,2025-08-07
3906,2018-05-21,2018-06-06,39.17001,2018-07-05
3907,2019-04-02,2019-04-12,31.5095114,2019-04-17
3907,2026-05-25,2026-06-05,3.516637,2026-06-10
3909,2017-10-25,2017-11-06,5.6556826,2017-11-09
3911,2020-05-20,2020-05-29,52.576089,2020-06-15
3912,2016-09-07,2016-09-15,34.548748,2016-09-21
3913,2021-03-16,2021-03-24,4.0031514,2021-03-29
3927,2020-05-27,2020-06-12,8.9912012,2020-07-09
3928,2017-01-12,2017-02-03,99.567764,2017-02-08
3932,2016-12-27,2017-01-11,10.087403,2017-01-16
3933,2019-11-26,2019-12-20,1.5373378,2020-01-28
3935,2017-05-22,2017-06-13,6.958273,2017-06-16
3936,2018-04-25,2018-05-01,4.9321056,2018-05-08
3936,2021-08-02,2021-08-24,43.59985560000001,2021-08-27
3936,2021-09-03,2021-10-01,18.36391452,2021-10-12
3936,2021-10-18,2021-11-17,92.4644646,2021-11-17
3936,2022-03-25,2022-04-14,14.6760942,2022-04-26
3936,2024-10-17,2024-10-23,3.737982,2024-10-28
3936,2026-04-28,2026-05-07,11.9198484,2026-05-12
3937,2017-06-12,2017-06-29,1.5223116,2017-07-20
3940,2017-06-09,2017-06-23,1.64725344,2017-06-28
3961,2020-06-09,2020-06-29,2.265227,2020-07-02
3967,2018-01-24,2018-01-29,12.3239226,2018-02-01
3968,2017-06-12,2017-06-14,8.2466784,2017-06-19
3987,2019-01-28,2019-01-31,17.6984228,2019-02-14
3987,2023-02-01,2023-02-14,5.5733078,2023-02-24
3991,2017-10-30,2017-11-15,1.631346,2017-11-20
3995,2022-07-28,2022-08-04,2.3498182,2022-08-09
3996,2021-09-24,2021-10-05,12.6679028,2021-10-08
3996,2021-10-27,2021-11-11,15.2874582,2021-11-16
3997,2025-08-22,2025-09-11,3.461277,2025-09-17
4011,2023-03-03,2023-04-03,5.608098,2023-04-06
4011,2023-06-13,2023-06-23,15.808464,2023-06-28
4011,2024-03-08,2024-03-15,21.285042,2024-03-21
4022,2019-03-04,2019-03-07,36.1240714,2019-03-12
4051,2020-10-16,2020-10-30,14.98471,2020-11-05
4052,2023-06-14,2023-07-04,1.2903108,2023-07-07
4054,2020-10-08,2020-10-23,10.6548,2020-10-28
4064,2022-09-01,2022-09-05,3.0703446,2022-09-13
4073,2024-06-20,2024-06-24,6.5338458,2024-06-26
4075,2024-01-30,2024-02-13,1.4507842,2024-03-04
4080,2017-08-25,2017-09-05,12.227095,2017-09-08
4080,2017-09-14,2017-09-27,21.1447542,2017-10-06
