n1,n2,e1,e1_pf,e2,e2_pf,e3,e3_pf,e4,e4_pf,total,design,oos,win_years,worst_year,worst_month,ex3,pf1,avg1,gain,atr,dev,vr,rng,tov,rank,n_cand
2069,716,5829582.163634164,1.7833685681221394,11120614.841419537,1.5819066643408974,1799075.0092439987,1.2718154009068274,1988176.6615360002,1.1757801832369668,20737448.6758337,16950197.0050537,3787251.670779999,21,-553966.659272,-454288.88855777215,19802648.6758337,1.4588929369918844,0.9042477238298272,7.0,4.0,8.0,4.0,8.0,1000000000.0,ATRのみ,3883
2069,726,5455080.075400968,1.7207209162602324,10762351.239192478,1.5534553981174404,1581478.3376633367,1.2363358461346359,1290253.8037660003,1.1083642716777946,19089163.456022784,16217431.314593446,2871732.1414293367,22,-655113.3309860001,-490699.99999999994,18060563.456022784,1.4245313923864007,0.8416537473527859,7.0,4.0,8.0,4.0,8.0,1000000000.0,前日比のみ,3883
2069,722,5700491.491439914,1.7597531165177291,10970352.618532576,1.5636842482397302,1842588.3423673369,1.2755098577170316,2018887.1373010003,1.1726934262776252,20532319.589640826,16670844.10997249,3861475.479668337,20,-434653.3262820001,-571699.99978,19523719.589640826,1.460792774176471,0.923913735807326,7.0,4.0,8.0,4.0,8.0,1000000000.0,乖離×ATR×前日比,3883
4087,2470,11175831.407980103,1.51200462486239,12497320.093360148,1.3060482626712804,5665289.726481147,1.3314763767426763,7840806.3457152005,1.4196966833951747,37179247.573536605,23673151.50134025,13506096.072196348,25,-54868.34052834789,-728561.113108894,36106780.91083661,1.392140600304438,0.7810225401027289,7.0,4.0,8.0,6.0,3.0,300000000.0,乖離×ATR(現行),13449
4087,2458,10372934.903660012,1.4682030360162484,11437466.695436876,1.2756540577553144,5044524.999618709,1.2890810808531974,6412172.854614951,1.333156358400351,33267099.45333055,21810401.599096887,11456697.85423366,23,-462825.42505648383,-811000.0000000001,32128032.79063055,1.3486778881489059,0.7043906566689322,7.0,4.0,8.0,6.0,3.0,300000000.0,乖離のみ,13449
4087,2462,10959826.030460063,1.5020232949514576,12855459.679182705,1.3282752568531628,5153859.749227368,1.3017670799351833,7346399.995589,1.3937455982317655,36315545.454459146,23815285.709642768,12500259.744816368,25,-19338.34086634789,-517599.99999999994,35243078.79175915,1.403833518702477,0.7786567623766188,7.0,4.0,8.0,6.0,3.0,300000000.0,ATRのみ,13449
4087,2459,9893672.033855498,1.4443759456696366,14238003.596454907,1.3675633856776503,4343812.905241601,1.2493901767472075,5723262.847493,1.291710199443359,34198751.383045,24131675.630310405,10067075.752734601,24,-160918.3404813479,-590516.6697220062,33109284.720345,1.3744410086964494,0.7350223517623709,7.0,4.0,8.0,6.0,3.0,300000000.0,前日比のみ,13449
4087,2455,10909545.977716409,1.4939132727564775,13497373.972954277,1.3301587069848158,4555086.664671041,1.2527580009402197,6235549.995099001,1.3153959322378215,35197556.61044072,24406919.950670686,10790636.659770042,25,-133168.34048134793,-673505.557356451,34125089.947740726,1.3622882855098473,0.7471765518598161,7.0,4.0,8.0,6.0,3.0,300000000.0,乖離×ATR×前日比,13449
3600,1909,8680706.751278665,1.4850051164038736,12401557.355886806,1.3596321712222648,3244238.4750947785,1.2241925134205165,5761447.298710201,1.329957044160847,30087949.88097045,21082264.10716547,9005685.77380498,25,-53618.63362557962,-731200.00022,29064283.218270447,1.356790749695179,0.7063564248861054,7.0,4.0,8.0,6.0,3.0,500000000.0,乖離×ATR(現行),10383
3600,1916,7424779.707358365,1.4042798347004062,11441443.697667899,1.3253803894550558,2712102.906785341,1.1857235513471305,4166799.5218839506,1.2269792000741457,25745125.833695553,18866223.405026264,6878902.428669292,23,-300450.80863243784,-655500.0000000001,24654859.170995552,1.2958861032569378,0.5974627855939338,7.0,4.0,8.0,6.0,3.0,500000000.0,乖離のみ,10383
3600,1905,9257302.796235096,1.5257632562691599,13414727.860028526,1.405804443229268,3077993.7447689986,1.2153601182838305,5650440.947930001,1.325610495227599,31400465.34896262,22672030.65626362,8728434.692699,25,-71493.63311257953,-501623.3335629999,30376798.68626262,1.3957051532483065,0.7577998219148925,7.0,4.0,8.0,6.0,3.0,500000000.0,ATRのみ,10383
