entry,y,ticker,pnl,yen
2024-01-15,2024,2222.T,-3.0430711610486894,-25939.138576779027
2024-01-16,2024,3349.T,5.0,37987.5
2024-01-18,2024,9143.T,0.297029702970297,2406.5346534653463
2024-01-18,2024,2222.T,4.052658750645328,39290.52658750646
2024-01-19,2024,4612.T,2.361489554950045,23187.46594005449
2024-01-23,2024,7956.T,1.5346069527090511,14598.715941121203
2024-01-23,2024,3038.T,-0.0259000259000259,-201.86480186480188
2024-01-29,2024,6594.T,-1.387900355871886,-11716.654804270464
2024-01-31,2024,9143.T,1.6078017923036374,15338.4290985767
2024-02-01,2024,7747.T,5.0,42472.5
2024-02-01,2024,3549.T,0.9520787051729609,9131.38686131387
2024-02-05,2024,4528.T,-0.6903353057199211,-5250.0
2024-02-05,2024,4307.T,0.4511992400854904,3780.1472334362384
2024-02-06,2024,3116.T,2.8688524590163933,26686.06557377049
2024-02-09,2024,9008.T,-0.5698005698005645,-5328.888888888839
2024-02-09,2024,6923.T,1.7323434228060157,13805.910908052541
2024-02-13,2024,4452.T,-3.0,-25317.0
2024-02-15,2024,3861.T,2.0773638968481416,20760.343839541594
2024-02-15,2024,1808.T,1.0176754151044456,9474.558114622389
2024-02-16,2024,9001.T,1.788532351394003,13542.76696475539
2024-02-20,2024,3197.T,-3.0,-26688.0
2024-02-21,2024,6923.T,0.05839984426708195,450.700798131205
2024-02-21,2024,4666.T,5.0,43125.0
2024-02-22,2024,9069.T,0.7490636704119851,7193.258426966293
2024-02-27,2024,9001.T,1.3238019592268997,10066.190097961346
2024-02-27,2024,7956.T,0.5932762030323006,5410.678971654582
2024-02-28,2024,4516.T,-0.08343763037129745,-811.6812682519816
2024-03-01,2024,8103.T,-2.5297619047619047,-23835.416666666664
2024-03-01,2024,8570.T,-1.7208413001912046,-15737.954110898661
2024-03-04,2024,4005.T,2.158751245433411,21535.48654931917
2024-03-06,2024,9147.T,-0.2098360655737629,-1606.7147380311549
2024-03-06,2024,3349.T,-2.240398293029872,-15671.586059743953
2024-03-07,2024,4528.T,0.4698672114402451,4568.049029622063
2024-03-11,2024,6981.T,1.6794711452563873,14558.495622654991
2024-03-11,2024,6971.T,-3.0,-25464.0
2024-03-12,2024,4503.T,-1.0866190624029806,-10418.503570319777
2024-03-14,2024,9008.T,2.731707317073168,26958.67317073168
2024-03-14,2024,3349.T,1.4250089063056643,10081.938012112576
2024-03-15,2024,2664.T,2.134959969500572,16812.809759817002
2024-03-19,2024,4661.T,0.9010812975570685,8992.791349619543
2024-03-19,2024,2802.T,0.6238532110091742,5116.844036697247
2024-03-22,2024,9104.T,0.8536064874093043,7959.026888604353
2024-03-27,2024,4927.T,1.0793871866295264,10763.109331476322
2024-03-27,2024,8113.T,0.45719035743973513,4364.33910847632
2024-03-28,2024,7956.T,0.44262853251617296,3868.1307456588356
2024-04-01,2024,4502.T,-3.0,-25104.0
2024-04-01,2024,5192.T,-3.0,-28020.0
2024-04-02,2024,4536.T,2.4822695035460995,24673.75886524823
2024-04-03,2024,8306.T,3.994629070157771,35819.83887210473
2024-04-04,2024,8267.T,0.4332755632582386,3994.222952547719
2024-04-05,2024,9022.T,0.273224043715847,2016.393442622951
2024-04-05,2024,7974.T,1.7426100425971345,13745.708016006196
