ev,win,side,n,gross,net,t,t1,t2,wy,ny
上海金SGE寄り09:00,5→30,売,2753,-0.003715221353362731,-0.00871522135336273,-1.2780269257423786,-0.715952370113293,-1.0584733875434789,2,11
上海株寄り09:30,前15→0,買,2747,0.0023916910633817222,-0.002608308936618278,1.120879534994866,0.5479458057259372,0.9866654621531276,6,11
上海株寄り09:30,前15→0,売,2747,-0.0023916910633817222,-0.007391691063381722,-1.120879534994866,-0.5479458057259372,-0.9866654621531276,5,11
上海株寄り09:30,前10→0,買,2746,0.00111452873612492,-0.0038854712638750804,0.6943450154132796,0.7266593573420839,0.31313614320855593,8,11
上海株寄り09:30,前10→0,売,2746,-0.00111452873612492,-0.00611452873612492,-0.6943450154132796,-0.7266593573420839,-0.31313614320855593,3,11
上海株寄り09:30,前5→0,買,2737,0.0010579547615560585,-0.003942045238443942,0.9655828792576651,0.9755691829724853,0.46812353585102634,8,11
上海株寄り09:30,前5→0,売,2737,-0.0010579547615560585,-0.006057954761556059,-0.9655828792576651,-0.9755691829724853,-0.46812353585102634,3,11
上海株寄り09:30,0→5,買,2746,0.0022387245689227614,-0.0027612754310772387,1.8064386892088353,0.7268057056271326,1.7004854784486767,7,11
上海株寄り09:30,0→5,売,2746,-0.0022387245689227614,-0.0072387245689227615,-1.8064386892088353,-0.7268057056271326,-1.7004854784486767,4,11
上海株寄り09:30,0→10,買,2750,0.005603300749255435,0.0006033007492554348,3.2990164199280048,1.6372137892667489,2.8814454885416514,9,11
上海株寄り09:30,0→10,売,2750,-0.005603300749255435,-0.010603300749255435,-3.2990164199280048,-1.6372137892667489,-2.8814454885416514,2,11
上海株寄り09:30,0→15,買,2750,0.006792651003846195,0.0017926510038461952,3.1700439744118696,1.2493383414414991,2.9948655092035623,9,11
上海株寄り09:30,0→15,売,2750,-0.006792651003846195,-0.011792651003846195,-3.1700439744118696,-1.2493383414414991,-2.9948655092035623,2,11
上海株寄り09:30,0→30,買,2753,0.006462623846061341,0.0014626238460613405,2.2837820444026824,2.071251837622654,1.320298477682431,9,11
上海株寄り09:30,0→30,売,2753,-0.006462623846061341,-0.01146262384606134,-2.2837820444026824,-2.071251837622654,-1.320298477682431,2,11
上海株寄り09:30,5→15,買,2748,0.00455775423743069,-0.00044224576256930975,2.6897855806792794,1.0415952059144273,2.552157416704915,10,11
