side,hold,tp,sl,n,gross,net,win,pf,yrs_pos,yrs,h1,h2,net_yr
売り反発,24,8,999,3566,0.040003645541224514,-0.16999635445877564,48.99046550757151,0.9076694684338938,2,11,-0.18974382157926167,-0.1528169900367063,-56.654859813083554
売り反発,24,2,8,3566,0.03941138530566593,-0.17058861469433423,61.413348289399885,0.8513218935666167,2,11,-0.09278902953586178,-0.23827058206607293,-56.85224299065382
買い反発,12,999,4,4115,0.03940899149452991,-0.1705910085054703,42.162818955042525,0.8685935612563432,1,11,-0.15443756670224015,-0.18409906291834527,-65.60579439252432
買い反発,24,2,999,3832,0.03888256784968775,-0.1711174321503124,64.27453027139875,0.8586636065285441,2,11,-0.12191990846681743,-0.2123829174664109,-61.28242990654178
買い反発,6,8,999,4422,0.03854341926729654,-0.17145658073270353,46.24604251469923,0.8451716418078057,1,11,-0.11472285572633098,-0.21903742203742424,-70.85803738317898
買い反発,6,8,2,4422,0.0383869289914059,-0.17161307100859413,39.57485300768882,0.8005522919036426,1,11,-0.17890034705007693,-0.16550145530145446,-70.92271028037413
売り反発,12,4,999,3867,0.03808714765968419,-0.17191285234031592,50.34910783553141,0.8609425967009612,2,11,-0.1295665378244076,-0.2092130350194551,-62.129626168224455
売り反発,48,2,8,3212,0.03691811955168095,-0.17308188044831926,67.96388542963886,0.8695193890584223,1,11,-0.09838859060402791,-0.23771196283391388,-51.956915887850606
売り反発,6,8,999,4180,0.03573468899521446,-0.1742653110047856,46.172248803827756,0.8350226008226792,1,11,-0.16934233316352504,-0.17862426702751652,-68.07747663551439
売り反発,24,2,999,3566,0.03545541222658657,-0.17454458777341356,62.8154795288839,0.8515931963663802,2,11,-0.06848704038577122,-0.2668096486628203,-58.1706542056068
売り反発,12,4,2,3867,0.035135505559864624,-0.1748644944401354,40.93612619601758,0.8197510157982846,1,11,-0.14488901159580575,-0.20126799610894922,-63.196355140187265
買い反発,48,2,2,3428,0.03500408401400264,-0.1749959159859974,50.175029171528585,0.8299474154181962,0,11,-0.18392317541613273,-0.16752304394426568,-56.064112149532626
売り反発,12,8,2,3867,0.03394000517196778,-0.17605999482803228,38.60874062580812,0.8267461617916987,1,11,-0.16749199337382906,-0.18360700389104892,-63.62841121495335
買い反発,12,4,8,4115,0.03316111786148224,-0.17683888213851795,49.08869987849332,0.8579027686515648,0,11,-0.12754002134471545,-0.2180642570281144,-68.00859813084125
買い反発,6,4,8,4422,0.03204274084124599,-0.1779572591587541,47.444595205789234,0.8202169385518949,0,11,-0.15000347050074858,-0.20140124740124768,-73.54457943925333
買い反発,12,8,999,4115,0.03137229647630398,-0.1786277035236962,47.339003645200485,0.8790571547836672,2,11,-0.06041141942369187,-0.27748415885765776,-68.6965420560757
買い反発,6,8,4,4422,0.028134554500223275,-0.18186544549977676,43.69063772048847,0.8188086747361438,0,11,-0.14949975210709382,-0.20900956340956534,-75.15971962616942
買い反発,24,8,4,3832,0.0275902922755742,-0.1824097077244259,43.63256784968685,0.8845892655207719,0,11,-0.13640617848970193,-0.22099616122840748,-65.32654205607479
買い反発,48,2,4,3428,0.027448366394399154,-0.18255163360560095,61.93115519253208,0.8518675889351451,2,11,-0.11913636363636379,-0.23563558413719174,-58.484766355140195
買い反発,12,8,2,4115,0.02737521263669604,-0.18262478736330404,36.86512758201701,0.8248260850511939,1,11,-0.1717764140875126,-0.19169656403391228,-70.23373831775665
売り反発,48,8,999,3212,0.026174968866749002,-0.18382503113325124,52.02366127023661,0.9250112842620546,2,11,-0.2310161073825518,-0.14299186991869955,-55.18186915887879
売り反発,6,999,2,4180,0.026084688995215446,-0.1839153110047846,40.07177033492823,0.780804677438164,0,11,-0.16773611818644912,-0.19824086603518268,-71.84728971962613
売り反発,12,8,999,3867,0.024939487975176033,-0.18506051202482413,47.63382467028705,0.8689953286169178,2,11,-0.1458194367752635,-0.21962548638131946,-66.88121495327056
売り反発,24,4,2,3566,0.02490914189568195,-0.18509085810431808,39.09141895681436,0.8364589538074857,1,11,-0.12986196503917885,-0.23313738856843244,-61.68542056074751
売り反発,24,8,4,3566,0.02490914189568144,-0.18509085810431872,42.989343802579924,0.879268926867627,1,11,-0.22282579867389826,-0.15226324069218838,-61.68542056074772
売り反発,12,8,4,3867,0.024320403413499312,-0.1856795965865008,44.09102663563486,0.8481072184837865,1,11,-0.19148371065709704,-0.1805671206225661,-67.10495327102791
買い反発,12,4,2,4115,0.024045929526124783,-0.1859540704738753,39.586877278250306,0.8117354685042371,1,11,-0.1982705442902867,-0.17565461847389524,-71.51411214953242
売り反発,6,999,4,4180,0.022396889952152166,-0.1876031100478479,43.899521531100476,0.8057020712730406,0,11,-0.17042536933265415,-0.20281281010374563,-73.28794392523405
買い反発,6,2,999,4422,0.022135685210310743,-0.1878643147896893,52.17096336499322,0.7781734481893081,0,11,-0.14611849281110847,-0.22287525987526002,-77.63887850467347
買い反発,12,8,4,4115,0.02207825030376612,-0.18792174969623401,43.08626974483597,0.8511942400302958,1,11,-0.13727161152614595,-0.23027710843373725,-72.27084112149561
売り反発,6,4,2,4180,0.019940909090908943,-0.19005909090909107,41.50717703349282,0.7658268293991379,1,11,-0.1576479877738151,-0.21875687866486315,-74.24738317757016
買い反発,24,2,2,3832,0.019736169102296485,-0.19026383089770352,48.53862212943633,0.8041077955097651,1,11,-0.20254919908466762,-0.17995921305182386,-68.13934579439251
売り反発,48,2,999,3212,0.01967278953922799,-0.19032721046077222,70.54794520547945,0.8629730362182921,2,11,-0.08115973154362519,-0.2847868757258994,-57.13373831775705
売り反発,24,4,4,3566,0.019515143017387673,-0.19048485698261247,47.700504767246215,0.861517553904709,1,11,-0.15553104279686317,-0.2208930256948086,-63.483084112149164
買い反発,6,2,8,4422,0.019137946630482693,-0.19086205336951734,51.60560832202623,0.7729005954419844,0,11,-0.14193653941497553,-0.23189438669438675,-78.87775700934633
売り反発,6,4,4,4180,0.01858540669856348,-0.19141459330143656,45.55023923444976,0.7904264612088318,0,11,-0.155606214977076,-0.22312043301759343,-74.77691588785092
売り反発,6,2,999,4180,0.017396650717703042,-0.192603349282297,51.43540669856459,0.765867410696239,0,11,-0.15664034640855887,-0.22444609833107823,-75.2413084112151
買い反発,12,2,999,4115,0.017216767922235275,-0.1927832320777649,56.64641555285541,0.8117957789082054,0,11,-0.12236979722518472,-0.25166532797858365,-74.14046728971988
売り反発,6,8,8,4180,0.016365311004783854,-0.19363468899521624,45.526315789473685,0.813264258506885,1,11,-0.16630514518593986,-0.21783310780333964,-75.644205607477
売り反発,12,999,2,3867,0.015564520299973695,-0.1944354797000264,37.67778639772433,0.8122192524454032,1,11,-0.17814191054666215,-0.2087874513618663,-70.26934579439272
買い反発,6,4,999,4422,0.015198552691086732,-0.1948014473089133,48.00995024875622,0.8096816642083644,0,11,-0.13944719881011888,-0.24122536382536588,-80.50579439252473
売り反発,24,8,2,3566,0.014822209758832916,-0.1951777902411672,35.02523836231071,0.8393212748029036,1,11,-0.20107052441229575,-0.19005138961720164,-65.04710280373853
売り反発,6,4,8,4180,0.014772727272726131,-0.19522727272727397,47.12918660287082,0.7973342644789699,1,11,-0.15990932246561387,-0.22649887235002483,-76.2663551401874
買い反発,12,4,4,4115,0.01396038882138515,-0.196039611178615,45.97812879708384,0.8315766244172692,0,11,-0.14283351120597457,-0.24053235162873896,-75.39280373831782
売り反発,12,4,8,3867,0.013605637445047444,-0.1963943625549527,49.237134729764676,0.8392295707324089,1,11,-0.15242131419105623,-0.23512743190661453,-70.97728971962637
売り反発,12,4,4,3867,0.01101292991983367,-0.19898707008016642,46.625290923196275,0.825634770305273,1,11,-0.16369353948095147,-0.2300749027237356,-71.9142990654209
買い反発,6,4,2,4422,0.009053369516055284,-0.2009466304839447,40.84124830393487,0.7592371115584795,0,11,-0.20554338125929855,-0.1970914760914754,-83.045420560748
売り反発,12,8,8,3867,0.008838893198863242,-0.2011611068011369,46.47013188518231,0.8515320414539935,1,11,-0.17315958034235374,-0.2258258754863784,-72.69999999999968
買い反発,6,4,4,4422,0.007918815015827536,-0.20208118498417246,45.31886024423338,0.7873713876040481,0,11,-0.16042092216163034,-0.23702037422037517,-83.51429906542155
売り反発,24,8,8,3566,0.006688446438587193,-0.20331155356141306,46.91531127313516,0.8828574226109188,1,11,-0.2083544303797438,-0.19892448872574936,-67.75785046728963
売り反発,24,999,2,3566,0.0033219293325859136,-0.20667807066741428,33.39876612450926,0.8347439252168803,1,11,-0.1583496081977084,-0.2487215521761935,-68.87981308411209
買い反発,12,2,8,4115,0.0033134872417982966,-0.20668651275820182,55.650060753341435,0.7974453076252576,0,11,-0.1450069370330823,-0.25826506024096574,-79.48738317757015
売り反発,48,4,999,3212,0.002470423412203297,-0.20752957658779692,58.997509339975096,0.894608234529623,1,11,-0.14441342281879288,-0.26214227642276555,-62.297663551402216
買い反発,12,4,999,4115,0.002304738760630656,-0.20769526123936952,50.13365735115431,0.841399687203319,1,11,-0.08289007470650839,-0.3120615796519449,-79.87532710280426
買い反発,48,8,999,3428,-0.0011607351225225548,-0.21116073512252276,53.0338389731622,0.9182719643975713,4,11,-0.07940845070422549,-0.3214485530546665,-67.65037383177645
売り反発,24,999,4,3566,-0.0013496915311272146,-0.2113496915311274,40.802019068984855,0.8693801739834528,2,11,-0.1871928872814927,-0.2323649711588904,-70.43672897196265
売り反発,12,2,999,3867,-0.001358675976208335,-0.21135867597620844,56.374450478407034,0.7929430434021504,0,11,-0.1331717283268919,-0.2802285992217884,-76.38542056074748
買い反発,24,2,4,3832,-0.0016813674321493,-0.21168136743214944,57.62004175365344,0.8136994991108297,0,11,-0.1690898169336362,-0.24740595009596947,-75.80962616822399
売り反発,48,4,8,3212,-0.0046117683686175736,-0.2146117683686179,55.63511830635118,0.8843044019790668,1,11,-0.20003825503355793,-0.22722183507549315,-64.42364485981315
売り反発,48,4,2,3212,-0.005716064757161324,-0.21571606475716143,36.986301369863014,0.8326105106915899,1,11,-0.14560000000000084,-0.2763855981416964,-64.75514018691612
買い反発,12,2,2,4115,-0.0076138517618461595,-0.2176138517618462,45.953827460510325,0.75174902139079,0,11,-0.20598345784418198,-0.22733958054439982,-83.68981308411188
売り反発,24,999,999,3566,-0.009512338754907281,-0.21951233875490747,46.578799775659,0.8981752398787073,2,11,-0.1916534056660605,-0.2437482957524938,-73.15710280373833
買い反発,6,2,2,4422,-0.012951605608322217,-0.22295160560832222,44.84396200814111,0.7085327658658614,0,11,-0.20347744174516721,-0.23928399168399106,-92.13943925233653
売り反発,48,8,4,3212,-0.01356351183063619,-0.22356351183063633,41.500622665006226,0.8820071628520214,2,11,-0.30601812080537116,-0.1522177700348437,-67.1108411214957
買い反発,6,2,4,4422,-0.014140208050656999,-0.224140208050657,49.525101763907735,0.7329798021705409,0,11,-0.1576068418443254,-0.2799397089397093,-92.63065420560797
売り反発,6,999,999,4180,-0.01539712918660426,-0.22539712918660437,45.55023923444976,0.7962932092619381,1,11,-0.18654966887417201,-0.2597938655841256,-88.05233644859872
売り反発,48,2,2,3212,-0.01540161892901634,-0.22540161892901636,48.848069738480696,0.786601011183263,1,11,-0.1268275167785243,-0.3106951219512191,-67.66261682242997
売り反発,24,2,2,3566,-0.01540689848569808,-0.22540689848569812,47.58833426808749,0.7681667835733764,1,11,-0.13150331525014888,-0.307098584163609,-75.12158878504668
売り反発,48,4,4,3212,-0.01626432129514441,-0.22626432129514454,48.6612702366127,0.8625307019576421,1,11,-0.19750402684563984,-0.25114982578397266,-67.92158878504713
売り反発,48,8,2,3212,-0.017298256537983028,-0.22729825653798316,30.57285180572852,0.8401527180181507,1,11,-0.22082684563758426,-0.23289779326364768,-68.23196261682261
売り反発,6,2,8,4180,-0.017767942583732595,-0.22776794258373265,50.8133971291866,0.7309792736465813,0,11,-0.16695007641365325,-0.28161795218764146,-88.97850467289743
売り反発,12,2,2,3867,-0.019977243341091685,-0.2299772433410917,46.26325316783036,0.7371347599570338,0,11,-0.14763611264494889,-0.30250632295719804,-83.11420560747679
買い反発,12,2,4,4115,-0.021300850546780135,-0.23130085054678023,52.53948967193196,0.7671515418394431,0,11,-0.16594343649946428,-0.28595493083445084,-88.95355140186923
売り反発,12,2,8,3867,-0.02288001034393577,-0.23288001034393588,55.41763641065426,0.7729056398418463,0,11,-0.15180508006626262,-0.30429377431906546,-84.16327102803739
売り反発,48,8,8,3212,-0.02834371108343703,-0.23834371108343738,48.06973848069738,0.8938593687934954,2,11,-0.29401812080537004,-0.19017015098722384,-71.54766355140195
売り反発,12,999,4,3867,-0.028351693819498605,-0.23835169381949872,42.87561417119214,0.8116712013488804,0,11,-0.21189066813915136,-0.2616595330739293,-86.14074766355156
売り反発,6,2,2,4180,-0.03415550239234433,-0.24415550239234438,44.52153110047847,0.6798425705199933,0,11,-0.16642893530310712,-0.3129769959404601,-95.38037383177566
売り反発,48,2,4,3212,-0.036175280199254055,-0.2461752801992541,60.67870485678705,0.8069349732114223,0,11,-0.12466107382550534,-0.3513182346109182,-73.89859813084152
買い反発,24,4,999,3832,-0.036364561586637985,-0.24636456158663816,55.40187891440501,0.8564146842365343,2,11,-0.10606350114416394,-0.36404510556621816,-88.23074766355117
売り反発,6,2,4,4180,-0.036761722488039196,-0.24676172248803918,48.92344497607656,0.7040701741097829,0,11,-0.162001528273052,-0.32181100586378114,-96.39850467289756
買い反発,24,8,999,3832,-0.03993345511482293,-0.24993345511482318,50.86116910229646,0.8780331415388366,3,11,-0.08428203661327292,-0.38887715930902156,-89.50887850467312
売り反発,24,999,8,3566,-0.040447560291643266,-0.25044756029164356,44.55973079080202,0.8675691361601784,1,11,-0.1837118746232637,-0.30850445726271974,-83.46691588785056
売り反発,24,2,4,3566,-0.04156057206954556,-0.2515605720695457,56.50588895120583,0.7799836409946372,0,11,-0.13066425557564584,-0.35673466177241914,-83.83785046728971
売り反発,6,999,8,4180,-0.04367224880382812,-0.25367224880382827,44.928229665071775,0.7624876803153837,1,11,-0.18074783494651048,-0.3182417681551655,-99.0981308411217
売り反発,12,999,999,3867,-0.05030902508404344,-0.26030902508404363,46.13395396948539,0.8284471202007754,0,11,-0.1863550524572075,-0.32545038910505547,-94.07616822429877
売り反発,12,2,4,3867,-0.05062089475045284,-0.26062089475045286,52.443754848719934,0.7401219116912529,0,11,-0.15845168415240313,-0.3506152723735405,-94.18887850467303
売り反発,48,999,2,3212,-0.08081693648816939,-0.2908169364881696,27.98879202988792,0.8032920692781261,1,11,-0.2348040268456381,-0.33928339140534264,-87.29943925233653
売り反発,12,999,8,3867,-0.08442823894491747,-0.2944282389449177,45.09956038272563,0.7939086373436496,1,11,-0.1989055770292674,-0.3785680933852108,-106.40691588785016
売り反発,48,999,999,3212,-0.13826899128269152,-0.34826899128269195,47.291407222914074,0.8876324698606923,1,11,-0.28524697986577335,-0.4028002322880396,-104.54579439252397
売り反発,48,999,4,3212,-0.16955323785803275,-0.37955323785803297,37.546699875467,0.8147802933068853,1,11,-0.364304697986579,-0.39274738675958143,-113.93691588785065
売り反発,48,999,8,3212,-0.17808561643835616,-0.38808561643835665,43.74221668742217,0.8469971560467453,1,11,-0.34888187919463176,-0.422007549361208,-116.49822429906557
