signal_date,entry_date,exit_date,exit_type,ticker,name,direction,entry_open,pnl_pct,win
2025-02-07,2025-02-10,2025-02-12,STOP,2371.T,カカクコム,SELL,2475.0,-3.0,False
2025-02-07,2025-02-10,2025-02-18,MAXHOLD,2801.T,キッコーマン,BUY,1453.5,1.101,True
2025-02-07,2025-02-10,2025-02-14,TP,3407.T,旭化成,BUY,1003.0,5.0,True
2025-02-10,2025-02-12,2025-02-17,TP,2371.T,カカクコム,SELL,2535.0,5.0,True
2025-02-12,2025-02-13,2025-02-18,STOP,2801.T,キッコーマン,BUY,1491.0,-3.0,False
2025-02-13,2025-02-14,2025-02-20,TP,1893.T,五洋建設,SELL,694.8,5.0,True
2025-02-13,2025-02-14,2025-02-17,RSI,1963.T,日揮ホールディングス,SELL,1190.0,1.681,True
2025-02-13,2025-02-14,2025-02-21,MAXHOLD,2269.T,明治ホールディングス,BUY,2955.5,0.406,True
2025-02-13,2025-02-14,2025-02-17,STOP,3774.T,インターネットイニシアティブ,BUY,2805.0,-3.0,False
2025-02-14,2025-02-17,2025-02-20,TP,2121.T,ＭＩＸＩ,SELL,3795.0,5.0,True
2025-02-14,2025-02-17,2025-02-19,STOP,2897.T,日清食品ホールディングス,BUY,3011.0,-3.0,False
2025-02-14,2025-02-17,2025-02-19,STOP,3626.T,ＴＩＳ,SELL,3793.0,-3.0,False
2025-02-14,2025-02-17,2025-02-25,MAXHOLD,4151.T,協和キリン,BUY,2051.0,1.828,True
2025-02-17,2025-02-18,2025-02-25,STOP,1719.T,安藤・間,SELL,1306.0,-3.0,False
2025-02-17,2025-02-18,2025-02-25,TP,1803.T,清水建設,SELL,1454.5,5.0,True
2025-02-17,2025-02-18,2025-02-19,STOP,2264.T,森永乳業,SELL,3000.0,-3.0,False
2025-02-18,2025-02-19,2025-02-20,TP,2121.T,ＭＩＸＩ,SELL,3725.0,5.0,True
2025-02-18,2025-02-19,2025-02-20,TP,2212.T,山崎製パン,BUY,2545.5,5.0,True
2025-02-18,2025-02-19,2025-02-27,MAXHOLD,3197.T,すかいらーくホールディングス,SELL,2526.0,-1.564,False
2025-02-19,2025-02-20,2025-02-27,STOP,2502.T,アサヒグループホールディングス,SELL,1799.5,-3.0,False
2025-02-19,2025-02-20,2025-02-28,MAXHOLD,2914.T,日本たばこ産業,BUY,3715.0,0.942,True
2025-02-25,2025-02-26,2025-03-05,MAXHOLD,1928.T,積水ハウス,BUY,3393.0,-0.177,False
2025-03-03,2025-03-04,2025-03-05,STOP,3382.T,セブン＆アイ・ホールディングス,BUY,2095.5,-3.0,False
2025-03-04,2025-03-05,2025-03-12,MAXHOLD,3003.T,ヒューリック,SELL,1415.5,1.978,True
2025-03-04,2025-03-05,2025-03-06,TP,3382.T,セブン＆アイ・ホールディングス,BUY,2044.5,5.0,True
2025-03-04,2025-03-05,2025-03-12,MAXHOLD,4204.T,積水化学工業,SELL,2571.5,0.117,True
2025-03-07,2025-03-10,2025-03-17,MAXHOLD,2593.T,伊藤園第１種優先株式,BUY,2999.5,2.817,True
2025-03-07,2025-03-10,2025-03-17,MAXHOLD,4183.T,三井化学,SELL,1684.28,0.456,True
2025-03-10,2025-03-11,2025-03-12,STOP,3197.T,すかいらーくホールディングス,SELL,2840.0,-3.0,False
2025-03-11,2025-03-12,2025-03-19,MAXHOLD,4005.T,住友化学,SELL,363.7,-2.227,False
