clock,h,m,k,side,n,gross,net,t,t1,t2,wy,ny,roll
ロンドン,5,0,15,売,2785,0.0010567679510278612,-0.0039432320489721385,0.9334792726918739,0.2565120110845905,1.0085529366521557,6,11,False
ロンドン,5,15,15,買,2785,-0.0006804549069008145,-0.005680454906900815,-0.5921333985217735,-0.10765208888657855,-0.6596338449111582,4,11,False
ロンドン,5,15,15,売,2785,0.0006804549069008145,-0.004319545093099186,0.5921333985217735,0.10765208888657855,0.6596338449111582,7,11,False
ロンドン,5,30,15,買,2785,0.0004965936176151624,-0.004503406382384838,0.31950663933236845,-0.3974032592971091,0.6759865994056975,9,11,False
ロンドン,5,30,15,売,2785,-0.0004965936176151624,-0.005496593617615162,-0.31950663933236845,0.3974032592971091,-0.6759865994056975,2,11,False
ロンドン,5,45,15,買,2785,0.0005560134965454637,-0.004443986503454536,0.3892562521581279,0.9270888025238458,-0.15145652559157308,7,11,False
ロンドン,5,45,15,売,2785,-0.0005560134965454637,-0.005556013496545464,-0.3892562521581279,-0.9270888025238458,0.15145652559157308,4,11,False
ロンドン,6,0,15,買,2785,-0.0015071874933295845,-0.006507187493329585,-0.9976995210142835,-1.4412678682302988,-0.10893352422381108,4,11,False
ロンドン,6,0,15,売,2785,0.0015071874933295845,-0.0034928125066704153,0.9976995210142835,1.4412678682302988,0.10893352422381108,7,11,False
ロンドン,6,15,15,買,2785,0.002575165392236456,-0.002424834607763544,1.6991241635899776,3.019887445408725,0.09607281123542723,8,11,False
ロンドン,6,15,15,売,2785,-0.002575165392236456,-0.007575165392236456,-1.6991241635899776,-3.019887445408725,-0.09607281123542723,3,11,False
ロンドン,6,30,15,買,2785,-0.0010606391443272788,-0.006060639144327279,-0.5371828301526231,0.8237492601664665,-1.1790362267633385,4,11,False
ロンドン,6,30,15,売,2785,0.0010606391443272788,-0.003939360855672721,0.5371828301526231,-0.8237492601664665,1.1790362267633385,7,11,False
ロンドン,6,45,15,買,2785,-0.00043482793667923156,-0.005434827936679231,-0.2653698940492512,-0.5197653847868395,0.029288386424453364,5,11,False
ロンドン,6,45,15,売,2785,0.00043482793667923156,-0.004565172063320769,0.2653698940492512,0.5197653847868395,-0.029288386424453364,6,11,False
ロンドン,7,0,15,買,2785,-0.0007254498347667704,-0.00572544983476677,-0.36825952119960764,-2.515993383936572,1.4613723583782618,4,11,False
ロンドン,7,0,15,売,2785,0.0007254498347667704,-0.00427455016523323,0.36825952119960764,2.515993383936572,-1.4613723583782618,7,11,False
ロンドン,7,15,15,買,2785,0.002148076437721695,-0.002851923562278305,1.2654264796207517,0.5706769112052688,1.1671296293421813,7,11,False
ロンドン,7,15,15,売,2785,-0.002148076437721695,-0.007148076437721695,-1.2654264796207517,-0.5706769112052688,-1.1671296293421813,4,11,False
ロンドン,7,30,15,買,2785,-0.0011609574360942746,-0.006160957436094275,-0.6480815600337144,-1.8556269573184243,0.5403294105110759,6,11,False
ロンドン,7,30,15,売,2785,0.0011609574360942746,-0.0038390425639057255,0.6480815600337144,1.8556269573184243,-0.5403294105110759,5,11,False
ロンドン,7,45,15,買,2785,0.0028095236476390127,-0.0021904763523609874,1.791864321742955,1.0693570637397116,1.4549584919109524,7,11,False
ロンドン,7,45,15,売,2785,-0.0028095236476390127,-0.007809523647639012,-1.791864321742955,-1.0693570637397116,-1.4549584919109524,4,11,False
ロンドン,8,0,15,買,2785,0.0025224498572950205,-0.0024775501427049796,1.16852602494618,1.866886775635722,-0.1413704757508354,5,11,False
ロンドン,8,0,15,売,2785,-0.0025224498572950205,-0.00752244985729502,-1.16852602494618,-1.866886775635722,0.1413704757508354,6,11,False
ロンドン,8,15,15,買,2785,0.000845198529708701,-0.0041548014702912995,0.4708931798301471,0.26907278118303496,0.38842858468911445,8,11,False
ロンドン,8,15,15,売,2785,-0.000845198529708701,-0.005845198529708701,-0.4708931798301471,-0.26907278118303496,-0.38842858468911445,3,11,False
