A,B,W,zin,H,n,mean,t,first,second,wy,ny,sum
US500Cash,US2000Cash,168,2.0,24,580,-0.05976844130299767,-1.705156407222143,-0.07282643653475274,-0.05201974083580236,2,10,-34.66569595573865
US500Cash,US2000Cash,168,2.0,72,409,-0.05189737014376077,-0.8668472917392284,-0.001852781677367289,-0.08275490295307852,5,10,-21.226024388798155
US500Cash,US2000Cash,168,2.5,6,461,-0.0825381306582782,-2.793535566949249,-0.07881501155485747,-0.08517189269069805,1,10,-38.05007823346625
US500Cash,US2000Cash,168,2.5,24,324,0.008702303253870555,0.16950191977004359,0.05159580563728736,-0.021935912734284302,4,10,2.8195462542540595
US500Cash,US2000Cash,168,2.5,72,257,-0.022119026921713265,-0.2867936444112157,-0.01701963494070705,-0.025934898472126097,4,10,-5.684589918880309
US500Cash,US2000Cash,336,1.5,6,888,-0.010551498449842885,-0.662900694840939,0.01378590327800782,-0.026309853186428967,3,10,-9.369730623460482
US500Cash,US2000Cash,336,1.5,24,576,0.05699974953827284,1.6926206346738581,0.12270789766566863,0.018155706170143865,8,10,32.831855734045156
US500Cash,US2000Cash,336,1.5,72,394,0.01724496330341198,0.2770956213107164,0.08881888670899274,-0.024891298056325086,6,10,6.794515541544321
US500Cash,US2000Cash,336,2.0,6,619,-0.04856108443054345,-1.836187296126893,-0.04067573945957112,-0.05322337066016719,3,10,-30.059311262506398
US500Cash,US2000Cash,336,2.0,24,426,-0.037031896229502724,-0.7833025119248094,0.06617494550332947,-0.09666251589736134,3,10,-15.77558779376816
US500Cash,US2000Cash,336,2.0,72,284,-0.09783463320179246,-1.1302911059058842,-0.12195694024686493,-0.08368467655524159,4,10,-27.78503582930906
US500Cash,US2000Cash,336,2.5,6,328,-0.021899727381147777,-0.48859455883972835,0.07387007721095767,-0.08805000477981853,3,10,-7.1831105810164715
US500Cash,US2000Cash,336,2.5,24,223,-0.04101404256016011,-0.6157491788292796,0.015978550230148283,-0.07816476971236111,4,10,-9.146131490915705
US500Cash,US2000Cash,336,2.5,72,169,-0.1274283233042377,-0.9957035261039994,0.0108982809845731,-0.21174168210884622,4,10,-21.53538663841617
GER40Cash,EU50Cash,24,1.5,6,2839,-0.05061465235176812,-14.362610074475462,-0.048435444078878453,-0.052059798083994885,0,11,-143.69499802666968
GER40Cash,EU50Cash,24,1.5,24,1906,-0.05763833663473028,-8.822253427399367,-0.055144996131504885,-0.05924181251008041,0,11,-109.85866962579591
GER40Cash,EU50Cash,24,1.5,72,1679,-0.0533586729310158,-6.949942055669583,-0.04822377150360065,-0.056667943390603624,0,11,-89.58921185117553
GER40Cash,EU50Cash,24,2.0,6,1796,-0.045604920969411,-9.930268484601951,-0.04756853454648443,-0.04437699609904201,0,11,-81.90643806106216
GER40Cash,EU50Cash,24,2.0,24,1432,-0.06336036742669304,-8.178488359964105,-0.07257228434022328,-0.05753070506978394,0,11,-90.73204615502443
GER40Cash,EU50Cash,24,2.0,72,1304,-0.05706605261663615,-6.302232798688563,-0.06466946115079834,-0.052197958347593935,0,11,-74.41413261209354
GER40Cash,EU50Cash,24,2.5,6,872,-0.048445410458950455,-7.636622088552372,-0.058941365935765905,-0.043322811028286265,0,11,-42.2443979202048
GER40Cash,EU50Cash,24,2.5,24,813,-0.06630234421704354,-6.300292350078191,-0.08424216476123325,-0.05708187779209686,0,11,-53.90380584845639
GER40Cash,EU50Cash,24,2.5,72,776,-0.06447767325418348,-5.4899692037585535,-0.08394488701263199,-0.05420756835799411,0,11,-50.03467444524638
GER40Cash,EU50Cash,72,1.5,6,1804,-0.0489225314532809,-10.926777767061058,-0.04891013320331353,-0.04893057784951199,0,11,-88.25624674171874
GER40Cash,EU50Cash,72,1.5,24,1145,-0.06851609762041277,-6.791354722344087,-0.07689310125665141,-0.06301224863220388,0,11,-78.45093177537262
GER40Cash,EU50Cash,72,1.5,72,866,-0.07595808558210256,-5.1998818828561655,-0.0775424751733075,-0.074938905180929,0,11,-65.77970211410081
GER40Cash,EU50Cash,72,2.0,6,1168,-0.048952178957213405,-8.178726346586402,-0.048363227710999185,-0.04932666616418995,0,11,-57.17614502202525
GER40Cash,EU50Cash,72,2.0,24,771,-0.05641249817947883,-4.365115346260236,-0.041997030971507754,-0.06559432442659419,1,11,-43.49403609637818
GER40Cash,EU50Cash,72,2.0,72,623,-0.06136271948343627,-3.309685342418738,-0.05489248009028839,-0.06555639316418027,1,11,-38.2289742381808
GER40Cash,EU50Cash,72,2.5,6,567,-0.04538522262371197,-5.284985817585035,-0.045963067438396926,-0.04501063136302958,1,11,-25.733421227644687
GER40Cash,EU50Cash,72,2.5,24,431,-0.047326767000555235,-2.6144657712283483,-0.04448290138925548,-0.04907356085918131,2,11,-20.397836577239307
GER40Cash,EU50Cash,72,2.5,72,395,-0.03571896972175492,-1.4334682952657172,-0.04058940251635322,-0.03286321394660893,2,11,-14.108993040093194
GER40Cash,EU50Cash,168,1.5,6,1162,-0.04532340969657621,-7.605098156692918,-0.040395320880835806,-0.048494952003735874,1,11,-52.66580206742155
GER40Cash,EU50Cash,168,1.5,24,755,-0.0624671900571287,-4.5849757356987,-0.046244987414167694,-0.07322243894596407,1,11,-47.16272849313217
GER40Cash,EU50Cash,168,1.5,72,525,-0.07103182703206688,-2.9825284524437987,-0.04194190833968934,-0.0886459062402955,2,11,-37.29170919183511
GER40Cash,EU50Cash,168,2.0,6,809,-0.05119047639077213,-7.162377108008607,-0.05790017051169319,-0.046889739388315615,0,11,-41.41309540013465
GER40Cash,EU50Cash,168,2.0,24,518,-0.05571698647409271,-3.226142689599498,-0.037777016687971794,-0.06690837828424338,1,11,-28.861398993580025
GER40Cash,EU50Cash,168,2.0,72,368,-0.08622988866508342,-2.752269870107114,-0.06594126862596118,-0.09868781325050936,2,11,-31.7325990287507
GER40Cash,EU50Cash,168,2.5,6,405,-0.04055547690641555,-4.160250975736792,-0.045265643666573575,-0.037182518506132904,1,11,-16.424968147098298
GER40Cash,EU50Cash,168,2.5,24,273,-0.05957230956053357,-2.635719826800449,-0.02879710725520077,-0.07971607834220597,2,11,-16.263240510025664
GER40Cash,EU50Cash,168,2.5,72,211,-0.04196561903401674,-0.955104380681673,0.0019251734680949346,-0.07042605479710479,5,11,-8.854745616177533
GER40Cash,EU50Cash,336,1.5,6,834,-0.04010007689372399,-5.69580327981523,-0.03372206667139553,-0.043912220934655945,1,11,-33.44346412936581
GER40Cash,EU50Cash,336,1.5,24,527,-0.04854325497325096,-2.9170860413082327,-0.023108976813312605,-0.06336082242979163,4,11,-25.582295370903257
GER40Cash,EU50Cash,336,1.5,72,344,-0.04455718573931504,-1.351434123925724,0.014508536614525086,-0.07827049758511422,4,11,-15.327671894324373
GER40Cash,EU50Cash,336,2.0,6,538,-0.024875880329731093,-2.7386956312357067,-0.032106595350620847,-0.019949955721749957,2,11,-13.383223617395327
GER40Cash,EU50Cash,336,2.0,24,338,-0.014352973788161206,-0.7020700209462898,-0.0038071924382413005,-0.0215408944097484,3,11,-4.8513051403984875
GER40Cash,EU50Cash,336,2.0,72,226,-0.003385374636812139,-0.07972694532249729,0.001980855647415427,-0.006871465843354142,5,11,-0.7650946679195434
GER40Cash,EU50Cash,336,2.5,6,326,-0.034708662128105784,-2.808388825296855,-0.030429650613539482,-0.03792942348315569,2,11,-11.315023853762487
GER40Cash,EU50Cash,336,2.5,24,212,-0.03854789319174747,-1.3005326246661768,-0.012899454967231066,-0.056750010641404294,4,11,-8.172153356650464
GER40Cash,EU50Cash,336,2.5,72,144,-0.033087229719323735,-0.6099754417426311,-0.03082733461363748,-0.034567850650635425,5,11,-4.764561079582618
GER40Cash,FRA40Cash,24,1.5,6,2355,-0.03927613557617256,-6.50080859821701,-0.0421378458770887,-0.036981512473372155,0,11,-92.49529928188637
GER40Cash,FRA40Cash,24,1.5,24,1559,-0.05276097670292033,-4.380659933971242,-0.054209901199104,-0.05153351104560835,0,11,-82.25436267985279
GER40Cash,FRA40Cash,24,1.5,72,1348,-0.06366359631674873,-4.410078301642245,-0.06047596283037816,-0.06641094893483607,0,11,-85.81852783497729
GER40Cash,FRA40Cash,24,2.0,6,1499,-0.04072628894850551,-5.192336171439025,-0.04871215237689706,-0.03425465324747805,0,11,-61.048707133809756
GER40Cash,FRA40Cash,24,2.0,24,1159,-0.06190554676242498,-4.272144629933516,-0.06252731351210078,-0.06140658619814391,1,11,-71.74852869765056
