entry,y,ticker,pnl,yen
2021-12-21,2021,3088.T,-3.0,-26280.0
2021-12-22,2021,5201.T,3.710575139146568,20185.52875695733
2021-12-23,2021,4927.T,-2.091633466135458,-20884.96015936255
2021-12-24,2021,3391.T,-1.4388489208633095,-12776.97841726619
2021-12-29,2021,9843.T,-0.4558404558404558,-3223.7037037037035
2021-12-29,2021,8227.T,3.369791995953718,32012.350003161126
2021-12-30,2021,2501.T,3.1135531135531056,29933.699633699558
2022-01-04,2022,4704.T,-3.0,-19170.0
2022-01-07,2022,4568.T,-1.090909090909091,-8970.545454545456
2022-01-11,2022,3092.T,-3.0,-27280.800000000003
2022-01-11,2022,7951.T,-1.4275747330005855,-13276.445016905445
2022-01-12,2022,4452.T,-3.0,-17616.0
2022-01-13,2022,9064.T,-3.0,-23373.0
2022-01-14,2022,2702.T,0.8113590263691683,8008.113590263692
2022-01-17,2022,6849.T,-3.0,-28440.0
2022-01-17,2022,9602.T,-1.4460511679644048,-14427.252502780868
2022-01-19,2022,9064.T,-3.0,-29268.0
2022-01-20,2022,9735.T,5.0,38255.0
2022-01-20,2022,7259.T,-3.0,-26370.0
2022-01-20,2022,2269.T,2.0319303338171264,13918.722786647315
2022-01-24,2022,5332.T,-0.7070707070707071,-6985.858585858586
2022-01-26,2022,9843.T,-3.0,-20202.0
2022-01-27,2022,6752.T,-3.0,-26575.5
2022-01-28,2022,2914.T,-0.23850823937554208,-2185.2124891587164
2022-01-31,2022,8591.T,3.2534246575342465,30386.986301369863
2022-01-31,2022,9843.T,1.4390691977954684,14117.268830373543
2022-02-02,2022,9502.T,0.7978723404255319,7327.659574468085
2022-02-04,2022,9506.T,1.9283746556473829,18225.068870523417
2022-02-07,2022,6503.T,1.5714285714285716,15400.0
2022-02-07,2022,5214.T,5.0,40665.0
2022-02-08,2022,1332.T,4.222648752399232,41719.76967370442
2022-02-14,2022,2269.T,1.0189228529839884,7010.189228529841
2022-02-14,2022,7270.T,-0.7571933366986371,-6087.834427057042
2022-02-14,2022,4613.T,5.019815059445178,47005.548216644645
2022-02-18,2022,8227.T,1.315151515151518,13085.494545454574
2022-02-18,2022,7182.T,-1.1811023622047243,-10906.299212598426
2022-02-21,2022,2212.T,-0.2588996763754045,-2415.533980582524
2022-02-24,2022,6302.T,2.389705882352941,19815.441176470587
2022-02-25,2022,2914.T,-3.0,-26298.0
2022-02-28,2022,2502.T,-3.0,-28020.600000000002
2022-03-02,2022,8031.T,5.0,49455.0
2022-03-02,2022,6448.T,-3.0,-25032.0
2022-03-04,2022,4503.T,-3.988300983780909,-37509.97075245945
2022-03-09,2022,7751.T,4.559445940746441,35379.020777222
2022-03-09,2022,8593.T,5.0,49685.0
2022-03-09,2022,6503.T,5.0,49320.0
2022-03-10,2022,5020.T,5.0,48312.0
2022-03-11,2022,9506.T,2.6950354609929077,26901.843971631202
2022-03-14,2022,3861.T,3.656307129798903,35670.9323583181
2022-03-15,2022,2664.T,1.0897994768962511,10013.077593722755
2022-03-31,2022,7412.T,1.4725568942436411,14395.716198125836
2022-04-01,2022,2229.T,2.771855010660981,26110.874200426442
2022-04-04,2022,9508.T,-0.8433734939759037,-8349.397590361446
2022-04-05,2022,6178.T,-1.7088399605652342,-15723.03647716072
2022-04-07,2022,7752.T,1.789473684210526,17501.052631578943
2022-04-08,2022,2331.T,-3.0,-29172.0
2022-04-11,2022,4206.T,-0.1034126163391934,-901.5511892450879
2022-04-12,2022,6113.T,1.530612244897959,15168.367346938776
2022-04-12,2022,9048.T,2.497551420176298,20419.980411361412
2022-04-14,2022,1925.T,0.13266998341625208,1200.0
2022-04-14,2022,5332.T,-3.0,-26820.0
2022-04-15,2022,4912.T,-2.311248073959938,-21161.787365177195
2022-04-21,2022,2875.T,1.153846153846154,8953.846153846154
2022-04-22,2022,3105.T,-3.3333333333333335,-33166.66666666667
2022-04-22,2022,2593.T,-3.148148148148148,-17000.0
2022-04-26,2022,1766.T,-3.944315545243619,-33881.67053364269
2022-04-26,2022,9627.T,1.565217391304348,9156.521739130436
2022-04-27,2022,7974.T,-3.0,-18420.0
2022-04-28,2022,2695.T,-3.0,-28935.0
2022-05-02,2022,8267.T,-3.0,-29620.8
2022-05-06,2022,9021.T,1.9926799511996744,19408.70272468483
2022-05-09,2022,6754.T,-3.169251517194875,-29093.728927848955
2022-05-09,2022,4768.T,3.233830845771144,26679.104477611938
2022-05-10,2022,9020.T,-2.8765713774437516,-25912.154968013314
2022-05-11,2022,8267.T,-3.0,-28645.2
2022-05-13,2022,8630.T,-1.5764831387423641,-13339.412078468515
2022-05-16,2022,1332.T,-1.2867647058823528,-12623.161764705881
2022-05-17,2022,8591.T,1.9494904740806378,17572.70713336287
2022-05-18,2022,4005.T,-4.307116104868914,-41244.94382022472
2022-05-20,2022,8473.T,5.0,49320.0
2022-05-26,2022,8227.T,0.9084480226296059,8327.288799434282
2022-05-26,2022,9042.T,1.1747430249632893,8011.747430249633
2022-05-31,2022,4716.T,-3.0,-23820.0
2022-06-02,2022,4519.T,0.08476970895733257,601.8649335970613
2022-06-02,2022,4523.T,-0.2656042496679947,-1402.65604249668
2022-06-06,2022,4502.T,0.1652892561983471,1196.3636363636365
2022-06-14,2022,7735.T,-0.9596928982725527,-7643.953934740883
2022-06-15,2022,5714.T,-3.0,-27300.0
2022-06-15,2022,7272.T,-0.780249213928036,-7363.992081052804
2022-06-17,2022,4502.T,1.8889202142655765,13532.22441499859
2022-06-20,2022,6988.T,-3.0,-27330.0
2022-06-20,2022,3191.T,0.26109660574412535,2412.5326370757184
2022-06-21,2022,3382.T,2.300052273915311,19676.947203345484
2022-06-22,2022,1911.T,2.8125,26886.093749999996
2022-06-24,2022,6965.T,5.0,39450.0
2022-06-28,2022,9433.T,-0.13969732246798602,-1212.0139697322468
2022-06-30,2022,2914.T,0.2798708288482239,2621.8299246501615
2022-07-01,2022,8750.T,-3.0,-28237.5
2022-07-04,2022,4704.T,4.315476190476191,28870.535714285717
2022-07-05,2022,2914.T,0.4478566858605247,4172.232885476648
2022-07-06,2022,9433.T,-0.02328830926874709,-200.46576618537495
2022-07-07,2022,9766.T,1.639344262295082,12065.573770491803
2022-07-08,2022,8306.T,3.484466834592776,34816.0957178841
2022-07-11,2022,9021.T,0.6355932203389831,5959.322033898306
2022-07-14,2022,6586.T,4.283559577677225,28785.520361990948
2022-07-15,2022,4182.T,4.662379421221865,43686.495176848875
2022-07-19,2022,5332.T,3.9215686274509802,33921.56862745098
2022-07-21,2022,2212.T,4.391468005018821,42395.23212045169
2022-07-27,2022,3563.T,2.9952076677316293,22508.985623003195
2022-08-01,2022,6503.T,-3.0,-29484.0
2022-08-02,2022,9433.T,-1.2619047619047619,-10650.47619047619
2022-08-03,2022,8601.T,0.9932659932659894,9430.46464646461
2022-08-03,2022,4502.T,0.7555315704263357,5606.044252563411
2022-08-05,2022,6178.T,0.4591564335290928,4326.171916711113
2022-08-08,2022,8591.T,0.3605227579990987,3205.768364127986
2022-08-08,2022,3407.T,-0.04906771344455348,-448.23356231599604
2022-08-10,2022,8630.T,1.4986945169712818,14232.352480417778
2022-08-12,2022,9432.T,-1.9294743845642088,-19076.32734530942
2022-08-15,2022,8795.T,-3.0,-26478.0
2022-08-16,2022,7182.T,-0.5905511811023622,-5400.0
2022-08-17,2022,3197.T,0.2609262883235486,2410.9589041095887
2022-08-19,2022,8227.T,1.0559610705596019,8679.999999999927
2022-08-19,2022,2784.T,0.7233273056057866,7143.5804701627485
2022-08-29,2022,6594.T,4.17877094972067,38733.02793296089
2022-08-29,2022,6702.T,1.6881522406384284,14188.919582565992
2022-08-29,2022,3038.T,-0.41841004184100417,-3087.8661087866108
2022-09-01,2022,4887.T,-1.835940368656826,-17628.51582580598
2022-09-01,2022,9504.T,-0.9626955475330927,-8831.768953068593
2022-09-01,2022,4544.T,-3.0,-25515.0
2022-09-05,2022,8001.T,0.5398110661268556,5169.122807017544
2022-09-06,2022,2587.T,1.5045135406218655,14924.774322968906
2022-09-06,2022,8282.T,-0.3225806451612903,-3176.774193548387
2022-09-08,2022,1333.T,0.7071960297766805,6791.627791563329
2022-09-09,2022,2269.T,0.46656298600311047,4534.992223950234
2022-09-09,2022,9101.T,5.0,48700.5
2022-09-13,2022,4307.T,-3.0,-22260.0
2022-09-14,2022,9143.T,-2.242562929061785,-19851.16704805492
2022-09-14,2022,4911.T,3.473053892215569,17976.526946107784
2022-09-16,2022,9503.T,2.895148669796557,25940.532081377154
2022-09-20,2022,9143.T,-3.0,-25632.0
2022-09-20,2022,6383.T,-3.803040802184819,-37117.678229323836
2022-09-20,2022,2002.T,-2.066115702479339,-17925.619834710746
2022-09-22,2022,9766.T,5.0,33800.0
2022-09-26,2022,8227.T,5.0,49832.5
2022-09-26,2022,6532.T,-3.0,-23550.0
2022-09-28,2022,8306.T,-3.0,-29089.2
2022-09-28,2022,7751.T,0.570703868103995,5453.075459733672
2022-09-29,2022,7550.T,2.8530670470756063,20000.0
