label,n,t,t1,t2,wy,ny,ann,tc2,tt3,pf,win,avg,tot,real,pbo,psd,delta,z,pv,sigtype,mafilt,bbfilt,dirn,trail,e16-19,e20-21,e22-24,e25-26
P60|breakout|MA1|BB1|TP20/SL20|TR0-0|both,1305,1.1895660772806547,-0.09313392076463917,1.747520547730013,8,11,77.27272727272289,-0.2708874997051453,1.0074776950481188,1.0686757695725912,53.63984674329502,0.6513409961685463,849.9999999999529,0.6513409961685463,-0.20147535592789384,0.4151025820789533,0.8528163520964402,2.0544713256788003,60,breakout,True,True,both,False,-0.49506726457398137,0.9349442379182319,2.346091644204713,-0.23333333333335277
P60|breakout|MA1|BB1|TP20/SL20|TR0-0|long,722,0.7308968699114965,-0.07897250571403637,1.1012912970371296,5,11,35.90909090908917,-0.3375725259801341,0.5215911144031967,1.057471264367814,53.601108033241,0.5470914127423563,394.99999999998124,0.5470914127423563,-0.15792524263000302,0.5688597779064034,0.7050166553723594,1.239350509130843,60,breakout,True,True,long,False,-0.6052863436123261,0.7701986754966951,3.2511415525112537,-2.367199999999889
P60|breakout|MA1|BB1|TP20/SL20|TR0-0|short,605,0.7590199152109502,0.070938016239723,0.9783021018916865,5,11,32.49090909090635,-0.26893555508378825,0.48027204820390856,1.0618938764200563,53.223140495867774,0.5907438016528432,357.3999999999702,0.5907438016528432,-1.3705112171356473,1.0893703250813964,1.9612550187884905,1.80035656712234,60,breakout,True,True,short,False,-0.7480176211453708,0.9937500000000274,1.1607843137253786,2.292783505154463
P60|breakout|MA1|BB1|TP20/SL20|TR5-3|both,1430,-0.06279131483115921,-0.9386682456031976,0.8239608074936875,5,11,-2.363636363638261,-2.8194405270794127,-0.3420011063819485,0.9954898695531464,80.41958041958041,-0.01818181818183261,-26.000000000020634,-0.01818181818183261,-0.9321271690227079,0.23546007228945587,0.9139453508408752,3.8815300698512636,60,breakout,True,True,both,True,0.1688755020078986,-1.2127868852460275,0.9472361809046423,-0.5117903930129407
P60|breakout|MA1|BB1|TP20/SL20|TR5-3|long,791,0.4763104470978716,0.0019573953491669846,0.6701287434195828,6,11,12.527272727272226,-1.710870356575995,0.16769420203641094,1.0465666396323323,81.92161820480405,0.17420986093551802,137.79999999999475,0.17420986093551802,-0.6990498154107052,0.2690351146876191,0.8732596763462233,3.245894787229462,60,breakout,True,True,long,True,0.35708661417308585,-0.4704142011835485,1.1121338912134757,-1.079069767441629
P60|breakout|MA1|BB1|TP20/SL20|TR5-3|short,651,-0.6160125781989165,-0.906867355436974,-0.010261278121815268,6,11,-16.17272727272908,-2.424915126185395,-0.9938144337316912,0.9375175611126647,78.64823348694317,-0.2732718894009519,-177.90000000001967,-0.2732718894009519,-1.2178827018784695,0.38889561212752216,0.9446108124775177,2.4289572394758,60,breakout,True,True,short,True,-0.05823293172704129,-2.074125874126016,0.69937106918256,0.22000000000006678
P60|breakout|MA1|BB1|TP15/SL15|TR0-0|both,1387,0.5250731786607269,-0.36982349437318374,1.1132709151976359,6,11,26.672727272732097,-1.4532670656395466,0.3017761481541026,1.0288090492228277,53.352559480894016,0.21153568853644855,293.40000000005415,0.21153568853644855,-0.615110457168311,0.489396229626869,0.8266461457047596,1.6891142507064683,60,breakout,True,True,both,False,-0.031120331950177396,0.10952380952384526,0.7194805194805773,-0.003539823008819457
P60|breakout|MA1|BB1|TP15/SL15|TR0-0|long,765,0.5047335502988292,0.6514844377052991,0.07005832763643376,6,11,19.35454545454833,-0.9422953738277857,0.3047881252184561,1.0380715652438302,53.59477124183007,0.2783006535948133,212.9000000000322,0.2783006535948133,-0.19937496821240236,0.4573450626779828,0.4776756218072157,1.0444534352468733,60,breakout,True,True,long,False,0.7408163265306726,0.38036809815955636,0.8375545851529003,-1.7375000000000353
P60|breakout|MA1|BB1|TP15/SL15|TR0-0|short,632,0.3697848183278175,-0.8026838956901395,1.283223032968971,7,11,12.0454545454567,-1.04047043601862,0.05818926536142293,1.0285584964221095,53.32278481012658,0.20965189873421536,132.5000000000241,0.20965189873421536,-0.6992182204132177,0.2727790266464126,0.9088701191474331,3.3318914959160253,60,breakout,True,True,short,False,-0.8912500000000031,0.3029411764706302,0.6331210191083347,2.0787878787879874
P60|breakout|MA1|BB1|TP15/SL15|TR5-3|both,1458,-0.8096544673504094,-2.048901525595495,0.9204196082159897,5,11,-25.954545454567086,-4.098885981016239,-1.073178293338908,0.9487036671038274,75.7201646090535,-0.19581618655709035,-285.5000000002377,-0.19581618655709035,-1.097443479319114,0.189925472088527,0.9016272927620236,4.747268930529561,60,breakout,True,True,both,True,0.05372549019589704,-1.7328075709781445,0.7877805486283412,-0.34565217391320974
