n,mean,t,ta,tb,wy,yrs,ann,sym,rule,cost
6620,-0.010771811462407256,-39.80552378244199,-27.437322883909165,-28.872695388687394,0.038461538461538464,26,-2.7426689185052333,EURDKK.,MA50/200,0.036435809197084786
6620,-0.018495157467532837,-54.544053637090165,-36.39069547959413,-41.27099892120314,0.0,26,-4.709151632117976,EURDKK.,モメ20,0.036435809197084786
6620,-0.016418457054440186,-50.77057373614842,-34.28957228043087,-37.7052623181928,0.0,26,-4.180391757707463,EURDKK.,モメ60,0.036435809197084786
6620,-0.014286114976499606,-47.275911950345574,-32.441131408690175,-34.485275971234,0.0,26,-3.6374646594010542,EURDKK.,モメ120,0.036435809197084786
6620,-0.012392833536509835,-43.69578878069987,-30.221911272476497,-31.568104146034205,0.0,26,-3.1554060773728887,EURDKK.,モメ250,0.036435809197084786
6620,-0.010149826074355524,-35.79543435864272,-23.16465224702843,-27.64241910928068,0.0,26,-2.5843018697012914,EURDKK.,逆張z1_1日,0.036435809197084786
6620,-0.014735717954878593,-42.22585033940914,-28.58237307936237,-31.377430966503947,0.0,26,-3.751940494665242,EURDKK.,順張z1_1日,0.036435809197084786
6620,-0.01195730419433054,-40.09425368819437,-26.32231923165135,-30.60358093744606,0.0,26,-3.044513606402622,EURDKK.,逆張z1_3日,0.036435809197084786
6620,-0.01702363107203619,-48.98434877026371,-32.77328379146177,-36.83724138650647,0.0,26,-4.334478372956907,EURDKK.,順張z1_3日,0.036435809197084786
6620,-0.012809841889897582,-41.02942677410608,-26.945123790365923,-31.352519762063736,0.0,26,-3.261582819658538,EURDKK.,逆張z1_5日,0.036435809197084786
6620,-0.01814601429784684,-52.05677960139037,-34.4249639320572,-39.62298899949967,0.0,26,-4.620254409682542,EURDKK.,順張z1_5日,0.036435809197084786
6620,-0.01371610596070164,-43.890939577903644,-28.97534575286741,-33.65820158264004,0.0,26,-3.4923315946094178,EURDKK.,ドンチャン20,0.036435809197084786
6620,-0.011928167930526675,-41.32068571870688,-28.725204001925242,-29.833011258201854,0.0,26,-3.037095065387945,EURDKK.,ドンチャン55,0.036435809197084786
6620,-0.008611374355038498,-34.00416635776634,-24.629187404510944,-23.475665547050667,0.0,26,-2.192588393475187,EURDKK.,月曜買,0.036435809197084786
6620,-0.010352479998841266,-35.69709603777418,-24.991268834979063,-25.53360533949922,0.0,26,-2.635900676628045,EURDKK.,月曜売,0.036435809197084786
6620,-0.008891501054802908,-35.97896559131759,-24.458388485405102,-26.492264507911493,0.0,26,-2.2639129608767403,EURDKK.,火曜買,0.036435809197084786
6620,-0.010129689215490704,-36.922943719053656,-25.415084040049837,-26.89475437571743,0.0,26,-2.5791747156364795,EURDKK.,火曜売,0.036435809197084786
6620,-0.009458938535915923,-35.88390863565254,-24.25171531790053,-26.791077569216757,0.0,26,-2.408391273375516,EURDKK.,水曜買,0.036435809197084786
6620,-0.009504915817963843,-35.92225669053816,-24.018922808462776,-26.93447056754051,0.0,26,-2.420097796727717,EURDKK.,水曜売,0.036435809197084786
6620,-0.009506039219423452,-36.21279728120501,-24.874955532729903,-26.36423472243547,0.0,26,-2.4203838320224333,EURDKK.,木曜買,0.036435809197084786
6620,-0.009457815134456312,-36.17458261321706,-25.000433189710055,-26.232648560762282,0.0,26,-2.4081052380808,EURDKK.,木曜売,0.036435809197084786
6620,-0.010107258807892554,-34.82064307130851,-24.088267172387095,-25.152719327284046,0.0,26,-2.573463588778796,EURDKK.,金曜買,0.036435809197084786
6620,-0.008870929525090674,-33.510975883776936,-23.914413756238158,-23.523903924918653,0.0,26,-2.2586751329269332,EURDKK.,金曜売,0.036435809197084786
