n,mean,t,ta,tb,wy,yrs,ann,sym,rule,cost,swl,sws,frm
3918,-0.010891773694699049,-1.043530203253641,-0.3230821796456626,-1.0633270789790572,0.35294117647058826,17,-2.510233490342993,HK50Cash,月曜売,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.009074779638740023,-0.913287909801701,-0.795912891710903,-0.5293841738251827,0.5294117647058824,17,-2.0914698014460837,HK50Cash,火曜買,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.016947345740230754,-1.703804545295536,-1.2701281343825854,-1.162586360114366,0.4117647058823529,17,-3.9058647417778882,HK50Cash,火曜売,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.0014421853703458633,-0.14953320666627715,-0.2153578268153357,-0.020222955948009637,0.47058823529411764,17,-0.33238131064794646,HK50Cash,水曜買,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.024612796227537762,-2.543690381433864,-1.9669683152971302,-1.6864907058122904,0.23529411764705882,17,-5.672525624676057,HK50Cash,水曜売,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.01944433298078129,-1.998019380758321,-0.9696704108773548,-1.7948949410166042,0.29411764705882354,17,-4.481346859923595,HK50Cash,木曜買,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.006742073492753699,-0.6940070976999888,-1.1129455402930968,0.030910394800369893,0.29411764705882354,17,-1.5538496438005296,HK50Cash,木曜売,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.015419761321206813,-1.6257288538950918,-0.6539942213351119,-1.5590428706103105,0.29411764705882354,17,-3.5538014621463705,HK50Cash,金曜買,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.010142376992984186,-1.0701532697216751,-1.5039712750252965,-0.1634145110711688,0.4117647058823529,17,-2.3375195916771796,HK50Cash,金曜売,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.006636807309720432,-1.1000102961295128,0.29558161444015035,-1.722789782968939,0.35294117647058826,17,-1.5295888846755679,HK50Cash,月末2日買,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.0004847725746717661,-0.08041981550935408,-1.18595920286222,0.9350443244003881,0.47058823529411764,17,-0.11172582044493978,HK50Cash,月末2日売,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,0.011906513628048234,1.5621764299818413,-0.5096126076352762,2.3593827061998125,0.7058823529411765,17,2.744101199687822,HK50Cash,月初2日買,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.01902809351244043,-2.4785630948233286,-0.26177210852404,-2.918920666340633,0.17647058823529413,17,-4.38541590480833,HK50Cash,月初2日売,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
3918,-0.0029639211773504694,-0.1346173752289568,0.11510382789458681,-0.26437003279919474,0.4117647058823529,17,-0.6830966572270087,HK50Cash,常時買,0.05644478490505181,-0.015534246575342463,-0.00030684931506849315,2010-09-24
