A,B,W,zin,H,n,mean,t,first,second,sum
US500Cash,US30Cash,24,2.5,6,1735,-0.03570060753812146,-7.6980722130775305,-0.03000266209275604,-0.040236549616264335,-61.94055407864074
US500Cash,US30Cash,24,2.5,24,1529,-0.044722851650757504,-5.5618076237121885,-0.037205916114140605,-0.050791488732919846,-68.38124017400823
US500Cash,US30Cash,24,2.5,72,1394,-0.05333221352498016,-5.627932521928691,-0.04335936528011222,-0.06155589728710949,-74.34510565382234
US500Cash,US30Cash,72,1.5,6,2160,-0.031918615768725934,-7.402036170994574,-0.022922301522140098,-0.040043040528858515,-68.94421006044801
US500Cash,US30Cash,72,1.5,24,1395,-0.04487172543347177,-4.618152128084528,-0.04052351639448528,-0.04867640834258495,-62.59605697969312
US500Cash,US30Cash,72,1.5,72,1008,-0.05425781184860788,-3.5047398345000222,-0.05055557169030945,-0.057557181595684355,-54.69187434339675
US500Cash,US30Cash,72,2.0,6,1445,-0.03540316495569247,-6.451401026343576,-0.03449598969266383,-0.03622994241101883,-51.15757336097562
US500Cash,US30Cash,72,2.0,24,979,-0.04557948258394933,-3.69465648858074,-0.04981035841434487,-0.042009930094274735,-44.622313449686395
US500Cash,US30Cash,72,2.0,72,772,-0.05232690871415361,-2.7552697035062828,-0.056963854830974193,-0.0483999256391429,-40.39637352732659
US500Cash,US30Cash,72,2.5,6,791,-0.03145343460611502,-4.364037958566307,-0.034533625737430775,-0.028760092123992956,-24.87966677343698
US500Cash,US30Cash,72,2.5,24,635,-0.044243337064859604,-2.704462923688229,-0.064943259580496,-0.026396483048445815,-28.094519036185847
US500Cash,US30Cash,72,2.5,72,556,-0.06184186445949502,-2.66405461153565,-0.059273816911911636,-0.06403326503343285,-34.38407663947923
US500Cash,US30Cash,168,1.5,6,1397,-0.03240525694018639,-5.989608183221939,-0.026793523816240342,-0.03720466747381354,-45.27014394544038
US500Cash,US30Cash,168,1.5,24,932,-0.05523939288699787,-4.387262094755191,-0.027326682192032974,-0.07774266352479903,-51.483114170682015
US500Cash,US30Cash,168,1.5,72,612,-0.09259496984568404,-3.957456079288349,-0.05341406978172557,-0.12499231109259896,-56.668121545558634
