n,win,pf,tot,a,b,e3,e4,wy,worst,dd,y10,n10,pf10,win10,worst10,dd10,wy10,hold,tp,stop,rsith,kind,lab,beat4,beat4dd,rank26,rank10
1229,46.7860048820179,1.0995597529254666,128.44888813900738,-21.548308890648293,149.99719702965567,72.6230234075648,80.92151335602799,19,-28.24324166244804,-89.51751857060405,153.54453676359276,590,1.2736881794256087,50.847457627118644,-1.4428333494000916,-26.836866746000066,9,2,5.0,2.0,50.0,grid,H2 TP5.0 ST2.0 RSI50 grid,False,False,293.0,382.0
1222,46.56301145662848,1.1027925866339885,131.9614480749574,-13.290308977698308,145.2517570526557,76.2080234075648,71.466073379028,20,-27.672783199390064,-82.32389356308795,147.6740967865928,587,1.263970817052829,50.4258943781942,0.018166650599920103,-25.916866746000068,10,2,5.0,2.0,,grid,H2 TP5.0 ST2.0 RSI∞ grid,False,False,286.0,401.0
1183,48.605240912933226,1.0516263297506403,67.94883983614088,-71.91421378137915,139.86305361752002,71.89959336279286,100.39163666102,16,-36.68594523002646,-123.29638724998557,172.2912300238129,570,1.311461656913315,52.98245614035088,-7.970099982880051,-31.014899959680044,9,2,5.0,3.0,50.0,grid,H2 TP5.0 ST3.0 RSI50 grid,False,False,397.0,316.0
1177,48.25828377230246,1.050605734851455,66.64897977209081,-62.17221386842919,128.82119364052,75.48459336279286,84.63977668401996,16,-30.90594523002646,-118.2663873370356,160.12437004681283,568,1.285768071618621,52.2887323943662,-8.96009998288005,-31.014899959680044,9,2,5.0,3.0,,grid,H2 TP5.0 ST3.0 RSI∞ grid,False,False,404.0,349.0
1174,48.807495741056215,1.0495845950345954,65.29865895044614,-57.89906804528099,123.19772699572714,59.2459500665999,96.98182667446008,16,-40.80119105230006,-105.78578444991386,156.22777674105998,565,1.2801373715241977,52.92035398230088,-15.961599969440027,-35.908999946240016,9,2,5.0,4.0,50.0,grid,H2 TP5.0 ST4.0 RSI50 grid,False,False,407.0,366.0
1168,48.45890410958904,1.0514222023058561,67.5786588863961,-46.67306813233101,114.25172701872712,62.830950066599904,83.32582669746007,15,-36.484524428800064,-96.15109631778414,146.15677676405997,563,1.2597203440705613,52.2202486678508,-16.951599969440025,-35.908999946240016,9,2,5.0,4.0,,grid,H2 TP5.0 ST4.0 RSI∞ grid,False,False,399.0,404.0
1171,49.01793339026473,1.0502757735425583,66.53173233479635,-57.994401363270896,124.52613369806723,52.53035007049994,106.87103333260009,15,-41.69279105230005,-110.74965100970371,159.40138340310003,565,1.2844848986811095,53.27433628318584,-13.108933311300007,-34.087666746000046,8,2,5.0,6.0,50.0,grid,H2 TP5.0 ST6.0 RSI50 grid,False,False,405.0,353.0
1165,48.66952789699571,1.0531776978905723,70.15573227074627,-45.424401450320914,115.58013372106723,56.11535007049994,93.21503335560008,15,-37.37612442880005,-102.31202952997403,149.3303834261,563,1.264124016460925,52.57548845470693,-14.098933311300005,-33.16766674600005,8,2,5.0,6.0,,grid,H2 TP5.0 ST6.0 RSI∞ grid,False,False,393.0,393.0
1170,49.059829059829056,1.0565800314127742,74.42763236246638,-52.07140136110088,126.49903372356728,43.730350070499945,120.19393333260012,15,-41.69279105230005,-107.37665098203372,163.92428340310008,564,1.2949377071916197,53.36879432624113,-10.387333311299997,-34.08766674600004,8,2,5.0,,50.0,grid,H2 TP5.0 ST∞ RSI50 grid,False,False,384.0,340.0
1164,48.71134020618557,1.0595189752683898,78.05163229841634,-39.5014014481509,117.55303374656728,47.315350070499946,106.5379333556001,15,-37.37612442880005,-98.93902950230404,153.85328342610006,562,1.2743182505353128,52.66903914590747,-11.377333311299997,-33.16766674600004,8,2,5.0,,,grid,H2 TP5.0 ST∞ RSI∞ grid,False,False,377.0,381.0
1227,46.780766096169515,1.0954330010499076,123.00831693679565,-24.04710341445994,147.0554203512556,73.32647340756479,78.3812866776279,18,-29.06134166244803,-91.9679214062996,151.7077600851927,589,1.2709809215924779,50.93378607809848,-3.426400000000038,-26.836866746000066,9,2,7.0,2.0,50.0,grid,H2 TP7.0 ST2.0 RSI50 grid,False,False,301.0,386.0
1220,46.47540983606557,1.0866012562211815,111.1462102093257,-26.373770164929894,137.51998037425562,75.36647340756478,65.68084670062791,19,-27.672783199390064,-87.46867972668552,141.0473201081927,586,1.2522575712925221,50.34129692832765,-3.426400000000038,-25.91686674600008,9,2,7.0,2.0,,grid,H2 TP7.0 ST2.0 RSI∞ grid,False,False,335.0,419.0
1181,48.602878916172735,1.0527647726007603,69.38166861232912,-69.76740832679081,139.14907693911996,72.15304336279284,100.5292099826199,15,-36.45660639163805,-125.52824845664713,172.68225334541273,569,1.3128320849838773,53.075571177504386,-3.851966661280071,-31.014899959680044,9,2,7.0,3.0,50.0,grid,H2 TP7.0 ST3.0 RSI50 grid,False,False,394.0,311.0
1175,48.17021276595745,1.0400308852168845,52.70714188485912,-70.61007507726076,123.31721696211991,74.19304336279284,81.53235000561988,15,-30.676606391638046,-120.82291520711712,155.7253933684127,567,1.2780629460783979,52.20458553791887,-4.841966661280071,-31.014899959680044,9,2,7.0,3.0,,grid,H2 TP7.0 ST3.0 RSI∞ grid,False,False,444.0,370.0
1172,48.80546075085324,1.0495272619699145,65.16048772663434,-55.549262590692685,120.70975031732702,57.7254000665999,97.11939999606,15,-41.61929105230005,-105.65984040864154,154.84480006265989,564,1.2782429162744253,53.01418439716312,-11.843466647840048,-35.908999946240016,9,2,7.0,4.0,50.0,grid,H2 TP7.0 ST4.0 RSI50 grid,False,False,409.0,378.0
1166,48.3704974271012,1.039629736304811,52.06582099916439,-54.90792934116263,106.97375034032702,59.7654000665999,80.21840001905997,15,-36.36229110487001,-98.97464574579548,139.98380008565988,562,1.24888070476528,52.135231316725985,-12.833466647840046,-35.908999946240016,9,2,7.0,4.0,,grid,H2 TP7.0 ST4.0 RSI∞ grid,False,False,445.0,425.0
1169,49.01625320786997,1.0502559229824278,66.43956111098456,-55.59859590868255,122.0381570196671,51.009800070499935,107.00860665420001,15,-42.51089105230004,-109.73422948797406,158.0184067246999,564,1.2826084876927488,53.36879432624113,-8.990799989700024,-34.087666746000046,8,2,7.0,6.0,50.0,grid,H2 TP7.0 ST6.0 RSI50 grid,False,False,406.0,358.0
